"","AGENCYNAME","SOURCE","AGENCYUNIQ","LASTMODIFI","MODIFIEDBY","SOURCECOMM","Date_Data_","Shape_STAr","Shape_STLe"
"42","Tri-valley Water District","SCRO",2511,"2013/11/07","source",NA,"2013/11/07",9404547.37013,30290.5758765
"43","Hills Valley Irrigation District","SCRO",1180,"2013/11/07","source",NA,"2013/11/07",17523620.6052,34837.2292964
"44","Farmers Water District","SCRO",878,"2013/11/07","source",NA,"2013/11/07",7718027.70836,16148.5659987
"45","Fresno Slough Water District","SCRO",964,"2013/11/07","source",NA,"2013/11/07",5329622.19295,18402.6691269
"46","Kings River Water District","SCRO",1303,"2013/11/07","source",NA,"2013/11/07",56579724.0782,42011.3763185
"47","Ora Loma Water District","SCRO",1796,"2013/11/07","source",NA,"2013/11/07",4670611.94265,18281.1681205
"48","Liberty Water District","SCRO",1422,"2013/11/07","source",NA,"2013/11/07",86273526.2044,59389.2487327
"49","Corcoran Irrigation District","SCRO",619,"2013/11/07","source",NA,"2013/11/07",188556789.388,153055.65599
"50","Atwell Island Water District","SCRO",111,"2013/11/07","source",NA,"2013/11/07",28963906.1011,40057.9543761
"51","Dudley Ridge Water District","SCRO",762,"2013/11/07","source","SWP contractor","2013/11/07",155073277.933,97446.3398089
"52","Lost Hills Water District","SCRO",1494,"2013/11/07","source",NA,"2013/11/07",309143388.175,155768.90781
"53","Green Valley County Water District","SCRO",1090,"2013/11/07","source",NA,"2013/11/07",11758448.4971,17466.1270277
"54","Devils Den Water District","SCRO",729,"2013/11/07","source",NA,"2013/11/07",35570609.5329,45404.8131562
"55","Clark's Fork Reclamation District","SCRO",563,"2013/11/07","source",NA,"2013/11/07",10356845.0969,21014.2216342
"56","Angiola Water District","SCRO",75,"2013/11/07","source",NA,"2013/11/07",148244648.143,123134.174089
"57","Salyer Water District","SCRO",2144,"2013/11/07","source",NA,"2013/11/07",22824193.2969,42381.5933418
"58","Lakeside Irrigation Water District","SCRO",1364,"2013/11/07","source",NA,"2013/11/07",130599021.243,61429.5131885
"59","Alpaugh Irrigation District","SCRO",39,"2013/11/07","source",NA,"2013/11/07",43673017.157,54208.5746436
"60","Tulare Irrigation District","SCRO",2518,"2013/11/07","source",NA,"2013/11/07",274538963.104,146425.777527
"61","Saucelito Irrigation District","SCRO",2230,"2013/11/07","source",NA,"2013/11/07",79630477.9955,50069.2842706
"62","Delano - Earlimart Irrigation District","SCRO",712,"2013/11/07","source",NA,"2013/11/07",227859309.142,78481.8283793
"63","Pixley Irrigation District","SCRO",1926,"2013/11/07","source",NA,"2013/11/07",282783869.779,114219.010808
"64","Lower Tule River Irrigation District","SCRO",1500,"2013/11/07","source",NA,"2013/11/07",416773599.87,128790.553951
"65","Ivanhoe Irrigation District","SCRO",1248,"2013/11/07","source",NA,"2013/11/07",46240673.4687,36342.5949797
"66","Stone Corral Irrigation District","SCRO",2384,"2013/11/07","source",NA,"2013/11/07",28139942.8741,37908.3228366
"67","Kern - Tulare Water District","SCRO",1287,"2013/11/07","source",NA,"2013/11/07",83252828.4958,133013.008988
"68","Lewis Creek Water District","SCRO",1421,"2013/11/07","source",NA,"2013/11/07",5160976.98426,19232.080247
"69","Lindsay - Strathmore Irrigation District","SCRO",1433,"2013/11/07","source",NA,"2013/11/07",65133603.0844,102471.054244
"70","Exeter Irrigation District","SCRO",864,"2013/11/07","source",NA,"2013/11/07",60593174.3339,55824.4309374
"71","Lindmore Irrigation District","SCRO",1431,"2013/11/07","source",NA,"2013/11/07",110483680.955,76967.2771715
"72","Porterville Irrigation District","SCRO",1958,"2013/11/07","source",NA,"2013/11/07",69293558.4848,55539.6045801
"73","Tea Pot Dome Water District","SCRO",2450,"2013/11/07","source",NA,"2013/11/07",14052798.9864,64164.6772077
"74","St Johns Water District","SCRO",2368,"2013/11/07","source",NA,"2013/11/07",53607837.7614,37070.1499238
"75","Vandalia Irrigation District","SCRO",2621,"2013/11/07","source",NA,"2013/11/07",6023424.66337,23900.2485936
"76","Terra Bella Irrigation District","SCRO",2460,"2013/11/07","source",NA,"2013/11/07",56171330.2175,110136.928832
"77","Kern County Water Agency","SCRO",1288,"2013/11/07","source","SWP contractor","2013/11/07",251014274.339,163925.438917
"78","Kern Delta Water District","SCRO",1289,"2013/11/07","source",NA,"2013/11/07",520385131.233,199768.768677
"79","Wheeler Ridge - Maricopa Water Storage District","SCRO",2715,"2013/11/07","source",NA,"2013/11/07",616095546.422,377504.934187
"80","West Kern Water District","SCRO",2679,"2013/11/07","source",NA,"2013/11/07",825578544.837,298665.498425
"81","Belridge Water Storage District","SCRO",176,"2013/11/07","source",NA,"2013/11/07",376872186.971,237344.181634
"82","Berrenda Mesa Water District","SCRO",181,"2013/11/07","source",NA,"2013/11/07",228865236.411,187892.975338
"83","Semitropic Water Service District","SCRO",2247,"2013/11/07","source",NA,"2013/11/07",905961051.596,200383.219249
"84","Rosedale - Rio Bravo Water Storage District","SCRO",2109,"2013/11/07","source",NA,"2013/11/07",175136656.291,105379.306943
"85","Buena Vista Water Storage District","SCRO",284,"2013/11/07","source",NA,"2013/11/07",204255083.95,143992.102054
"86","North Kern Water Storage District","SCRO",1745,"2013/11/07","source",NA,"2013/11/07",320399516.916,306573.335742
"87","Cawelo Water District","SCRO",500,"2013/11/07","source",NA,"2013/11/07",187398631.586,118220.204773
"88","Southern San Joaquin Municipal Utility District","SCRO",2354,"2013/11/07","source",NA,"2013/11/07",255100572.896,94876.7009909
"89","Tehachapi - Cummings County Water District","SCRO",2452,"2013/11/07","source",NA,"2013/11/07",1009103116.44,200540.669809
"90","Olcese Water District","SCRO",1789,"2013/11/07","source",NA,"2013/11/07",20363815.7559,28015.4991126
"91","Arvin - Edison Water Storage District","SCRO",101,"2013/11/07","source",NA,"2013/11/07",534917068.014,162330.80907
"92","Oakdale Irrigation District","SCRO",1766,"2013/11/07","source",NA,"2013/11/07",292293003.734,280221.589136
"93","Modesto Irrigation District","SCRO",1632,"2015/08/24","JCOMMON",NA,"2013/11/07",410843773.139,331619.640648
"94","Garfield Water District","SCRO",978,"2013/11/07","source",NA,"2013/11/07",7322113.21664,18172.7689331
"95","International Water District","SCRO",1240,"2013/11/07","source",NA,"2013/11/07",2978298.99389,8132.82123579
"96","Stratford Irrigation District","SCRO",2389,"2013/11/07","source",NA,"2013/11/07",41366084.6877,44415.298797
"97","Stevinson Water District","SCRO",2377,"2013/11/07","source",NA,"2013/11/07",30505776.3042,64430.1447921
"98","Shafter - Wasco Irrigation District","SCRO",2261,"2013/11/07","source",NA,"2013/11/07",157679879.19,87412.5822119
"99","Henry Miller Water District","SCRO",1160,"2013/11/07","source",NA,"2013/11/07",105490294.63,48703.1885609
"100","Aliso Water District","SCRO",32,"2013/11/07","source",NA,"2013/11/07",107724107.401,96511.7227915
"101","Madera Irrigation District","SCRO",1517,"2015/10/01","SERYSIAN","merged parts","2013/11/07",555055299.528,384314.927559
"102","Byron Bethany Irrigation District","SCRO",309,"2013/11/07","source",NA,"2013/11/07",117313663.387,199500.851805
"103","Centinella Water District","SCRO",509,"2013/11/07","source",NA,"2013/11/07",3558584.89115,15321.1062676
"104","Tracy  City Of","SCRO",2496,"2013/11/07","source",NA,"2013/11/07",46138152.1085,67311.0493873
"105","Western Hills Water District","SCRO",2695,"2013/11/07","source",NA,"2013/11/07",20840862.3366,22885.4917455
"106","Family Farms Water District","SCRO",876,"2013/11/07","source",NA,"2013/11/07",2937599.03312,11308.7358364
"107","Coelho Family Trust","SCRO",584,"2013/11/07","source",NA,"2013/11/07",9725975.3384,16641.1537701
"108","Lemoore Canal & Irrigation Company","SCRO",1416,"2013/11/07","source",NA,"2013/11/07",184935077.017,94828.7033583
"109","Naglee Burk Irrigation District","SCRO",1698,"2013/11/07","source",NA,"2013/11/07",11129778.0224,16472.238191
"110","Ducor Irrigation District","SCRO",761,"2013/11/07","source",NA,"2013/11/07",41528065.0734,54008.068437
"111","Melga Water District","SCRO",1582,"2013/11/07","source",NA,"2013/11/07",290756926.12,217031.696293
"112","New Stone Water District","SCRO",1726,"2013/11/07","source",NA,"2013/11/07",16971416.7663,21291.2620226
"113","Raisin City Water District","SCRO",1992,"2013/11/07","source",NA,"2013/11/07",209128963.553,69249.9785075
"114","Pajaro Valley Water Management Agency","SCRO",1842,"2013/11/07","source",NA,"2013/11/07",319805569.865,118639.418
"115","Monterey County Recycling Project","SCRO",1647,"2013/11/07","source",NA,"2013/11/07",63227578.3683,68975.7792806
"116","Santa Clara Valley Water District","SCRO",2211,"2015/09/08","WARNOLD","SWP contractor; entire county","2013/11/07",3383810155.72,335055.098556
"117","Santa Maria Valley Water Conservation District","SCRO",2219,"2013/11/07","source",NA,"2013/11/07",205516952.996,99627.3451893
"118","Marina Coast Water District","SCRO",1547,"2013/11/07","source",NA,"2013/11/07",8306605.74182,14911.2117631
"119","San Ardo Water District","SCRO",2147,"2013/11/07","source",NA,"2013/11/07",318720.270809,2707.98957082
"120","Castroville Water District","SCRO",498,"2013/11/07","source",NA,"2013/11/07",3976327.35519,16446.7691574
"121","Toro Water Service No 27-0021","SCRO",2486,"2013/11/07","source",NA,"2013/11/07",15637518.4066,19647.0196372
"122","Monterey County Service Area No 75","SCRO",1648,"2013/11/07","source",NA,"2013/11/07",279682.766872,2776.2210978
"123","Aromas Water District","SCRO",98,"2013/11/07","source",NA,"2013/11/07",10005633.5643,26267.1920897
"124","Alco Water Service","SCRO",25,"2013/11/07","source",NA,"2013/11/07",26523504.727,32562.1150673
"125","Atascadero Mutual Water Company","SCRO",107,"2013/11/07","source",NA,"2013/11/07",98612402.7561,44435.8645916
"126","Ralph Lane-Co. Serv. Area #69  @USBR Source 2","SCRO",1994,"2013/11/07","source",NA,"2013/11/07",68152.2592373,1548.36427404
"127","Monterey Peninsula Water Management District","SCRO",1651,"2013/11/07","source",NA,"2013/11/07",442675435.471,214831.833381
"128","Avila Beach Community Service District","SCRO",116,"2013/11/07","source",NA,"2013/11/07",726636.045021,5838.70576576
"129","Chualar Co. Service Area No 75","SCRO",553,"2013/11/07","source",NA,"2013/11/07",38657.803278,893.566883422
"130","San Lorenzo Valley Water District","SCRO",2180,"2013/11/07","source",NA,"2013/11/07",157767296.765,150099.615012
"131","Central Water District","SCRO",521,"2013/11/07","source",NA,"2013/11/07",10845924.5506,27982.9906066
"132","Scotts Valley Water District","SCRO",2237,"2013/11/07","source",NA,"2013/11/07",12323600.793,39745.9978027
"133","Soquel Creek Water District","SCRO",2330,"2013/11/07","source",NA,"2013/11/07",36330559.0008,76476.7549684
"134","Sunnyslope Community Water District","SCRO",2424,"2013/11/07","source",NA,"2013/11/07",16463126.7346,25177.5360299
"135","Tres Pinos County Water District","SCRO",2505,"2013/11/07","source",NA,"2013/11/07",978965.842709,6478.97208745
"136","Santa Cruz  City Of","SCRO",2213,"2013/11/07","source",NA,"2013/11/07",32879509.9074,51182.4968589
"137","Watsonville  City Of","SCRO",2669,"2013/11/07","source",NA,"2013/11/07",17870995.782,39499.9214529
"138","Hollister  City Of","SCRO",1188,"2013/11/07","source",NA,"2013/11/07",14552749.0943,55170.6025535
"139","Templeton Community Services District","SCRO",2457,"2013/11/07","source",NA,"2013/11/07",13122085.029,29829.3367546
"140","Morro Bay  City Of","SCRO",1660,"2013/11/07","source",NA,"2013/11/07",15812381.0039,30748.9046956
"141","Oceano Community Service District","SCRO",1776,"2013/11/07","source",NA,"2013/11/07",4710724.88568,13332.9846608
"142","Pismo Beach  City Of","SCRO",1923,"2013/11/07","source",NA,"2013/11/07",9061190.73207,31224.2923937
"143","Shandon County Service Area No 16","SCRO",2263,"2013/11/07","source",NA,"2013/11/07",1118351.51693,5333.92429257
"144","Cambria Community Service District","SCRO",445,"2013/11/07","source",NA,"2013/11/07",12471887.3298,27823.6678834
"145","Buellton  City Of","SCRO",282,"2013/11/07","source",NA,"2013/11/07",4152064.33264,12009.7972292
"146","Carpinteria  City Of","SCRO",484,"2013/11/07","source",NA,"2013/11/07",24005429.9468,29886.5568555
"147","Guadalupe  City of","SCRO",1112,"2013/11/07","source",NA,"2013/11/07",3445542.84278,14600.2422868
"148","Lompoc  City Of","SCRO",1459,"2013/11/07","source",NA,"2013/11/07",30216527.2598,40102.6584062
"149","Santa Barbara  City Of","SCRO",2209,"2013/11/07","source",NA,"2013/11/07",104267411.509,114619.161911
"150","Santa Maria  City Of","SCRO",2218,"2013/11/07","source",NA,"2013/11/07",60752861.6391,71584.8089056
"151","Solvang  City Of","SCRO",2325,"2013/11/07","source",NA,"2013/11/07",6328163.81889,19792.2352032
"152","Goleta  City Of","SCRO",1067,"2013/11/07","source",NA,"2013/11/07",20545538.9458,38488.6304191
"153","Tejon - Castac Water District","SCRO",2455,"2013/11/07","source",NA,"2013/11/07",21346963.31,40264.6385678
"154","Los Osos Community Services District","SCRO",1490,"2013/11/07","source",NA,"2013/11/07",3233196.3443,9186.3995054
"155","San Luis Obispo County Water District No 23","SCRO",2187,"2013/11/07","source",NA,"2013/11/07",1033482.14386,4496.01552214
"156","Garden Farms Community Water District","SCRO",976,"2013/11/07","source",NA,"2013/11/07",682817.885737,4937.12580113
"157","San Luis Obispo County Water District No 10","SCRO",2186,"2013/11/07","source",NA,"2013/11/07",1226533.45287,5396.20407834
"158","San Miguel Community Services District","SCRO",2191,"2013/11/07","source",NA,"2013/11/07",7724002.39251,16982.5528338
"159","Nipomo Community Service District","SCRO",1731,"2013/11/07","source",NA,"2013/11/07",18153445.4926,53726.6585703
"160","Morro Bay  City Of","SCRO",1660,"2013/11/07","source",NA,"2013/11/07",690029.762352,4440.69537085
"161","Pismo Beach  City Of","SCRO",1923,"2013/11/07","source",NA,"2013/11/07",5919299.1,13861.4643956
"162","San Luis Obispo County Service Area 16","SCRO",2185,"2013/11/07","source",NA,"2013/11/07",390990.785385,3789.37257313
"163","Central San Joaquin Water Conservation District","SCRO",519,"2013/11/07","source",NA,"2013/11/07",272983268.788,125868.731237
"164","Avenal City Of","SCRO",114,"2013/11/07","source",NA,"2013/11/07",186932078.237,64692.4331577
"165","Coalinga  City Of","SCRO",578,"2013/11/07","source",NA,"2013/11/07",431224006.754,106135.740759
"166","Lindsay  City Of","SCRO",1432,"2013/11/07","source",NA,"2013/11/07",6159603.82075,20630.1885388
"167","Fresno  City Of","SCRO",934,"2013/11/07","source",NA,"2013/11/07",365655968.433,107686.960451
"168","Huron  City Of","SCRO",1218,"2013/11/07","source",NA,"2013/11/07",3354244.96587,9712.18569507
"169","Orange Cove  City Of","SCRO",1800,"2013/11/07","source",NA,"2013/11/07",3877026.24968,14468.930429
"170","Tracy  City Of","SCRO",2496,"2013/11/07","source",NA,"2013/11/07",36813662.5107,53717.4845508
"171","Fresno County Service Area No 34 Brighton Crest","SCRO",944,"2013/11/07","source",NA,"2013/11/07",6501076.42608,13328.739877
"172","Fresno County Service Area No 34A","SCRO",945,"2013/11/07","source",NA,"2013/11/07",2013888.08834,7645.9976815
"173","Fresno County Service Area No 41","SCRO",947,"2013/11/07","source",NA,"2013/11/07",7992722.07612,17834.6529488
"174","Fresno County  Parks Department  Avocado Lake Park","SCRO",935,"2013/11/07","source",NA,"2013/11/07",1021000.13369,5792.09104528
"175","Hidden Lakes Estates","SCRO",1171,"2013/11/07","source",NA,"2013/11/07",622250.185433,4402.16121928
"176","Reclamation District No 1606","SCRO",2022,"2013/11/07","source",NA,"2013/11/07",3162047.08321,21105.4635808
"177","Strathmore Public Utilities District","SCRO",2391,"2013/11/07","source",NA,"2013/11/07",1463599.33969,8904.1127156
"178","Styro-Tek","SCRO",2396,"2013/11/07","source",NA,"2013/11/07",42566.465498,825.793780184
"179","Tranquility Public Utility District","SCRO",2500,"2013/11/07","source",NA,"2013/11/07",521905.352746,8301.90526245
"180","US Vetrans Association San Joaquin National Cemetery","SCRO",2594,"2013/11/07","source",NA,"2013/11/07",1314205.35496,4995.39225263
"181","Visalia  City Of","SCRO",2647,"2013/11/07","source",NA,"2013/11/07",69987396.4548,126972.063834
"182","Skyline County Water District","SCRO",2316,"2013/11/07","source",NA,"2013/11/07",314784.32603,14547.5406313
"183","Golden Hills Community Services District","SCRO",1019,"2013/11/07","source",NA,"2013/11/07",20113810.324,29086.1653237
"184","Frazier Park Public Utilities District","SCRO",931,"2013/11/07","source",NA,"2013/11/07",3446465.97376,9064.12303861
"185","California Water Service Company - Salinas","SCRO",417,"2013/11/07","source",NA,"2013/11/07",59315088.4309,89886.3400002
"186","California Water Service Company - Bakersfield","SCRO",386,"2013/11/07","source",NA,"2013/11/07",125089149.97,97158.3832994
"187","Corcoran  City Of","SCRO",618,"2013/11/07","source",NA,"2013/11/07",21400536.6291,29992.3356423
"188","Clovis  City Of","SCRO",574,"2013/11/07","source",NA,"2013/11/07",42464971.7614,41683.8659461
"189","Ceres  City Of","SCRO",522,"2013/11/07","source",NA,"2013/11/07",15316379.4707,28189.2218079
"190","Atwater  City Of","SCRO",110,"2013/11/07","source",NA,"2013/11/07",13432482.6491,20468.7919858
"191","Biola Community Services District","SCRO",220,"2013/11/07","source",NA,"2013/11/07",987946.504065,4337.137635
"192","Delano  City Of","SCRO",711,"2013/11/07","source",NA,"2013/11/07",119329213.689,172612.606968
"193","Dinuba  City Of","SCRO",737,"2013/11/07","source",NA,"2013/11/07",8851358.8543,21430.349748
"194","Dos Palos City Of","SCRO",745,"2013/11/07","source",NA,"2013/11/07",14318866.9497,35715.1811128
"195","Merced  City Of","SCRO",1589,"2013/11/07","source",NA,"2013/11/07",38200035.146,64055.2956451
"196","Madera  City Of","SCRO",1510,"2013/11/07","source",NA,"2013/11/07",29585910.1243,47797.5021152
"197","Caruthers Community Service District","SCRO",488,"2013/11/07","source",NA,"2013/11/07",1817305.69176,8955.1511696
"198","Hanford  City Of","SCRO",1125,"2013/11/07","source",NA,"2013/11/07",30855971.1908,63714.6035223
"199","Sanger  City Of","SCRO",2205,"2013/11/07","source",NA,"2013/11/07",11727769.3158,20612.6073058
"200","Riverbank  City Of","SCRO",2074,"2013/11/07","source",NA,"2013/11/07",8011785.30555,17792.0105759
"201","Reedley  City Of","SCRO",2042,"2013/11/07","source",NA,"2013/11/07",11177859.5458,26208.9135131
"202","Newman  City Of","SCRO",1729,"2013/11/07","source",NA,"2013/11/07",16961966.1769,18276.7134391
"203","Tehachapi  City Of","SCRO",2451,"2013/11/07","source",NA,"2013/11/07",17878882.2978,34542.1900011
"204","Turlock  City Of","SCRO",2524,"2013/11/07","source",NA,"2013/11/07",30116402.2534,61559.3666866
"205","Coulterville Water And Sewer CSA 1 M","SCRO",631,"2013/11/07","source",NA,"2013/11/07",1252559.39125,5073.03676262
"206","Cutler Public Utilities District","SCRO",668,"2013/11/07","source",NA,"2013/11/07",2116218.22787,8355.1996293
"207","Crows Landing Community Service District","SCRO",656,"2013/11/07","source",NA,"2013/11/07",513390.802614,6647.11347019
"208","Tulare  City Of","SCRO",2516,"2013/11/07","source",NA,"2013/11/07",49638419.5818,43792.6029434
"209","Del Este Water Company","SCRO",689,"2013/11/07","source",NA,"2013/11/07",53452230.4136,161643.273937
"210","Del Rey Community Services District","SCRO",707,"2013/11/07","source",NA,"2013/11/07",918369.18523,7234.27663969
"211","Denair Community Service District","SCRO",719,"2013/11/07","source",NA,"2013/11/07",2175168.94931,9279.43611785
"212","Delhi County Water District","SCRO",716,"2013/11/07","source",NA,"2013/11/07",3593512.46557,13532.6031972
"213","Earlimart Public Utilities District","SCRO",773,"2013/11/07","source",NA,"2013/11/07",3188897.016,11747.2697704
"214","East Niles Community Services District","SCRO",784,"2013/11/07","source",NA,"2013/11/07",20690529.8488,63258.9463456
"215","Fish Camp Mutual Water Company","SCRO",898,"2013/11/07","source",NA,"2013/11/07",62914.3736362,1131.62889819
"216","Greenfield County Water District","SCRO",1094,"2013/11/07","source",NA,"2013/11/07",4177793.41223,18532.9983421
"217","Hacienda Water District","SCRO",1118,"2013/11/07","source",NA,"2013/11/07",59801788.2589,65156.5138452
"218","Hilmar Community Water District","SCRO",1183,"2013/11/07","source",NA,"2013/11/07",3077682.66948,8177.60043047
"219","Home Garden Community Service District In Hanford","SCRO",1192,"2013/11/07","source",NA,"2013/11/07",1032784.6542,5911.8874698
"220","Ivanhoe Public Utilities District","SCRO",1249,"2013/11/07","source",NA,"2013/11/07",2492257.77226,12425.7964849
"221","Kettleman City Community Service District","SCRO",1290,"2013/11/07","source",NA,"2013/11/07",2611253.269,15636.5870119
"222","Keene Water District","SCRO",1280,"2013/11/07","source",NA,"2013/11/07",65151818.1944,44442.4500755
"223","Keyes Community Service District","SCRO",1291,"2013/11/07","source",NA,"2013/11/07",1399376.31397,10155.7152433
"224","Lake Don Pedro Community Service District","SCRO",1349,"2013/11/07","source",NA,"2013/11/07",50644541.0353,72800.5435921
"225","Lamont Public Utility District","SCRO",1371,"2013/11/07","source",NA,"2013/11/07",340947.942265,2496.5292017
"226","Lebec County Water District","SCRO",1407,"2013/11/07","source",NA,"2013/11/07",2685313.74651,9100.9033196
"227","North Of The River Municipal Water District","SCRO",1749,"2013/11/07","source",NA,"2013/11/07",28086071.5225,32322.4796573
"228","Midway CSD @","SCRO",1608,"2013/11/07","source",NA,"2013/11/07",2739976.94604,8481.1366245
"229","Mesa Water District","SCRO",1597,"2013/11/07","source",NA,"2013/11/07",8353354.10881,13970.3831186
"230","Oildale Mutual Water Company","SCRO",1782,"2013/11/07","source",NA,"2013/11/07",57243751.5553,43267.6698178
"231","Pinedale Community Water District","SCRO",1914,"2013/11/07","source",NA,"2013/11/07",5119702.25582,17654.3774237
"232","Plainview Public Utilities District","SCRO",1931,"2013/11/07","source",NA,"2013/11/07",152078.321461,1552.93147206
"233","Planada Community Service District","SCRO",1932,"2013/11/07","source",NA,"2013/11/07",4415525.72255,12928.55204
"234","Pond Poso Improvement District","SCRO",1946,"2013/11/07","source",NA,"2013/11/07",326093377.457,126164.874004
"235","Ponderosa Basin Mutual Water Company","SCRO",1947,"2013/11/07","source",NA,"2013/11/07",2201162.2592,7246.68439774
"236","Rancho Terra Bella","SCRO",2011,"2013/11/07","source",NA,"2013/11/07",4601621.81889,12666.9566543
"237","Quail Valley Water District","SCRO",1982,"2013/11/07","source",NA,"2013/11/07",53028311.8707,35764.2739279
"238","Poplar Community Service District","SCRO",1952,"2013/11/07","source",NA,"2013/11/07",2061317.61064,8767.5263266
"239","Reclamation District No 2064 River Junction","SCRO",2025,"2013/11/07","source",NA,"2013/11/07",21872923.638,27359.1879938
"240","Riverdale Public Utility District","SCRO",2077,"2013/11/07","source",NA,"2013/11/07",2778920.51828,10224.590546
"241","South Delta Water Agency","SCRO",2335,"2013/11/07","source",NA,"2013/11/07",596491309.577,155284.590239
"242","Springville Public Utilities District","SCRO",2363,"2013/11/07","source",NA,"2013/11/07",1192065.77631,8061.23651266
"243","Sierra Cedars Community Service District","SCRO",2284,"2013/11/07","source",NA,"2013/11/07",613980.494061,3226.10504479
"244","Stallion Springs Community Service District","SCRO",2370,"2013/11/07","source",NA,"2013/11/07",15252952.616,26384.2604972
