PWSID,PWS_NAME,CONTACT_NAME,TITLE,BUSINESS_PHONE,LOCATION_ADDRESS,POPULATION,TYPE,AREA,OWNERSHIP,SOURCE,CONNECTIONS,WELLS,PLANTS,INTAKES,INTERTIES,COUNTY
CA2400222   ,9-IRON WATER SYSTEM,MATTHEW FREITAS,OWNER,209-726-7740   ,3536 N. SANTA FE DRIVEMERCED CA 95340,90,Non-Community (Transient),Recreation Area               ,Private,Groundwater,1,1,0,0,0,Merced
CA4400720   ,948 BROWNS VALLEY ROAD (SSWS),,,, CORRALITOS CA 95076,17,Non-Public,Summer Camp                   ,Private,Groundwater,5,0,0,0,0,Santa Cruz
CA5400504   ,A & A  MHP,PJ MIKOLAJEWSKI, ,619-997-2611   ,1453 S. PLANO STPORTERVILLE CA 93275,200,Community,Mobile Home Park              ,Private,Groundwater,60,1,0,0,0,Tulare
CA2000227   ,A & J WATER,TERI  ARMSTRONG, ,559-683-5500   , OAKHURST CA 93644,200,Non-Community (Transient),Restaurant                    ,Mixed,Groundwater,2,1,0,0,0,Madera
CA5000384   ,A & M INDUSTRIES INC,DARRELL MARTIN, ,209-996-1640   , MODESTO CA 95351,142,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,25,2,0,0,0,Stanislaus
CA3902172   ,A SAMBADO & SON 39-321,LAWRENCE SAMBADO, ,, LINDEN CA 95236,25,Non-Transient Non-Community,Other Area                    ,Private,Groundwater,1,1,0,0,0, 
CA2400232   ,"A V THOMAS PRODUCE, INC.",FRANK LUCAS,FOOD SAFETY MGR.,209-394-7514   ,3900 SULTANA DR.ATWATER CA 95301,200,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,18,2,0,0,0,Merced
CA1200776   ,A W WAY - HUMBOLDT CO. PARKS,MIKE ORR,SEN. PARK CARETAKER,707-442-2510   ,"1106 2ND STREET, EUREKA CA 95501",300,Non-Community (Transient),Recreation Area               ,Local,Groundwater,1,1,0,0,0,Humboldt
CA1500466   ,A.F.P. MUTUAL WATER COMPANY,JON CURRY,GENERAL MANAGER,661-822-3266   ,"18900 ALPS DRIVE, TEHACHAPI, CA 93561, TEHACHAPI CA 93581",500,Community,Residential Area              ,Private,Groundwater,209,4,2,0,0,Kern
CA3900606   ,A1 WINSTONS MOBILE HOME PARK,,,, STOCKTON CA 95215,75,Community,Mobile Home Park              ,Private,Groundwater,30,1,0,0,0,San Joaquin
CA5200559   ,ABBEY OF NEW CLAIRVAUX,ANTHONY BELLESORTE, ,, VINA CA 96092,30,Community,Institution                   ,Private,Groundwater,15,3,0,0,0,Tehama
CA1400020   ,ABERDEEN WATER SYSTEM,MARTY  FORTNEY, ,760-258-6817   , INDEPENDENCE CA 93526,23,Community,Mobile Home Park              ,Private,Groundwater,75,1,0,0,0,Inyo
CA4300792   ,ABORN HEIGHTS WATER MUTUAL ASSOCIATION,ELISE PHELAN,MEMBER,408-274-7160   ,4442 LAZY LANESAN JOSE CA 95135,45,Community,Residential Area              ,Private,Groundwater,17,1,1,0,0,Santa Clara
CA4700542   ,ABRAMS LAKE MOBILE ESTATES,LINDA WELLS,GENERAL MANAGER,408-410-0423   ,2601 N. OLD STAGE ROADMT. SHASTA CA 96067,135,Community,Mobile Home Park              ,Private,Groundwater,58,1,0,0,0,Siskiyou
CA2800811   ,ACACIA WINERY,ACACIA WINERY  CA2800811, ,, NAPA CA 94559,25,Non-Community (Transient),Industrial/Agricultural       ,Private,Groundwater,1,8,1,0,0,Napa
CA3901303   ,ACAMPO WATER SYSTEM,,,, ACAMPO CA 95330,150,Community,Residential Area              ,Local,Groundwater,61,2,0,0,0,San Joaquin
CA5102033   ,ACCITO WATER SYSTEM,,,,,0,Non-Public,Residential Area              ,Unknown,Unknown,0,0,0,0,0,Sutter
CA3600615   ,ACE MOTEL,PATRICIA  JUDKINS, ,760-248-7524   , LUCERNE VALLEY CA 92356,25,Non-Community (Transient),Hotel/Motel                   ,Private,Groundwater,1,1,0,0,0,San Bernardino
CA3302077   ,ACEVES RANCH,,,, THERMAL CA 92274,24,Non-Public,,Private,Unknown,10,0,0,0,0,Riverside
CA5301013   ,ACKERMAN CAMPGROUND,LESLIE USFS ROSS,ENGINEER,530-226-2316   , LEWISTON CA 96052,100,Non-Community (Transient),Recreation Area               ,Federal,Groundwater,1,1,0,0,0,Trinity
CA3400352   ,ACORN MOBILE VILLAGE,DENNIS STROTH, ,916-422-8198   , SACRAMENTO CA 95827,100,Community,Mobile Home Park              ,Private,Groundwater,56,1,0,0,0,Sacramento
CA1900904   ,ACTON CONSERVATION CAMP #11,JOEL SEARS, ,,,100,Non-Transient Non-Community,Other Transient Area          ,Local,"Groundwater under direct influence, Purchase Water",1,0,1,0,1,Los Angeles
CA1900894   ,ACTON FOUR SQUARE CHURCH,COREY LOVERS, ,,3877 SMITH AVENUEACTON CA 93510,150,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,1,1,0,0,0,Los Angeles
CA1900092   ,ACTON LA NORTH KOA,JUSTIN HAHN, ,,,400,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,92,1,1,0,0,Los Angeles
CA1900658   ,ACTON REHAB CENTER,,,,,500,Community,Institution                   ,Local,Groundwater Purchased,1,0,0,0,1,Los Angeles
CA1907004   ,ACTON-AGUA DULCE LDS CHURCH,LINDA STRONG, ,,,150,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,1,1,0,0,0,Los Angeles
CA0605012   ,ADAM'S VEGETABLE OILS,DAVID KAY,OPERATIONS MANAGER,530-668-2052   ,7301 JOHN GAULT WAYARBUCKLE CA 95412,70,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,2,0,0,0,Colusa
CA1900009   ,ADAMS RANCH MUTUAL,VICTOR YBARRA, ,,,1030,Community,Residential Area              ,Private,Groundwater,177,1,2,0,0,Los Angeles
CA1700501   ,ADAMS SPRINGS WATER DISTRICT,ROBERT STARK,GENERAL MANAGER,707-928-5262   ,14564 EMERFORD RDCOBB CA 95461,99,Community,Residential Area              ,Local,Groundwater Purchased,30,0,0,0,1,Lake
CA4000740   ,ADELAIDE ESTATES,JOHN  MUNCH, ,, PASO ROBLES CA 93446,15,Non-Public,,Unknown,Groundwater,5,1,0,0,0,San Luis Obispo
CA3610001   ,"ADELANTO, CITY OF",VICTOR REID,WATER SUPERINTENDENT,760-987-4655   ,11600 AIR EXPRESSWAYADELANTO CA 92301,31765,Community,Residential Area              ,Local,Groundwater,8165,10,4,0,2,San Bernardino
CA3400429   ,ADESA OF SACRAMENTO,DON KESTER, ,916-388-7435   , SACRAMENTO CA 95826,320,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,8,1,0,0,0,Sacramento
CA1000410   ,ADKINS RENTALS,WILLIAM CARL ADKINS SR.,OWNER,559-896-7213   ,9533 S GOLDEN STATESELMA CA 93662,40,Community,Residential Area              ,Private,Groundwater,17,1,0,0,0,Fresno
CA0605004   ,ADM RICE INC.,JOHN DANIELS,SAFETY/SECURITY SUP,530-476-2662   ,1603 OLD HWY 99 WESTARBUCKLE CA 95912,30,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,2,1,0,0,Colusa
CA4901214   ,ADOBE CHRISTIAN CHURCH,BILL FUNK,SENIOR PASTOR,707-763-2012   ,2875 ADOBE ROADPETALUMA CA 94954,50,Non-Transient Non-Community,Day Care Center               ,Private,Groundwater,2,1,1,0,0,Sonoma
CA2701187   ,AERA ENERGY LLC WS,DAVID TODD, ,831-385-7726   , SAN ARDO CA 93450,75,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,1,1,0,0,Monterey
CA1500495   ,AERA ENERGY-LLC,MIKE BROWN,PROCESS SUPERVISOR,661-665-7102   ,W LERDO HWY & MAIN DRAIN RDBUTTONWILLOW CA 93206,70,Community,Residential Area              ,Private,Groundwater,82,2,1,0,0,Kern
CA1500405   ,"AERIAL ACRES WATER COMPANY, INC.",RONALD BUCK,PRESIDENT,760-769-4786   ,18130 AVENUE BNORTH EDWARDS CA 93523,172,Community,Residential Area              ,Private,Groundwater,52,2,2,0,0,Kern
CA3600797   ,AERONAUTICAL SYSTEMS,WARREN  OVERHOLT, ,760-388-8103   ,73 EL MIRAGE AIRPORT RD BADELANTO CA 92301,25,Non-Transient Non-Community,Institution                   ,Private,Groundwater,1,1,0,0,0,San Bernardino
CA5800807   ,AEROPINES,MIKE LINTEO, ,530-673-9056   , BROWNSVILLE CA 95919,45,Community,Residential Area              ,Private,Groundwater,21,2,2,0,0,Yuba
CA2800569   ,AETNA SPRINGS GOLF COURSE,AETNA RESERVE  CA2800569, ,, POPE VALLEY CA 94567,100,Non-Transient Non-Community,Hotel/Motel                   ,Private,Groundwater,1,5,1,0,0,Napa
CA1100709   ,AFTON STORE,BRAD ORICK, ,916-947-7382   ,659 COUNTY RD. YBUTTE CITY CA 95920,25,Non-Community (Transient),Other Residential Area        ,Private,Groundwater,1,1,0,0,0,Glenn
CA4000744   ,AFUERA DE CHORRO WATER COMPANY,MARK  LINDGREN, ,805-541-0649   , SAN LUIS OBISPO CA 93401,75,Community,Residential Area              ,Private,Groundwater,19,5,1,0,0,San Luis Obispo
CA1500543   ,AGAPE MUTUAL WATER SYSTEM,ROBYN HILL,PRESIDENT,,32570 THE LORDS AVENUEBAKERSFIELD CA 93312,42,Community,Residential Area              ,Private,Groundwater,16,1,0,0,0,Kern
CA3110012   ,AGATE BAY WATER COMPANY,STEVEN GLAZER,MANAGER,530-525-6659   , CARNELIAN BAY CA 96140,2500,Community,Residential Area              ,Private,Surface Water,580,0,1,1,0,Placer
CA1500518   ,AGBAYANI VILLAGE WATER SYSTEM,SHEILA GEIVET,MANAGER,661-725-4347   ,"10701 METTLEER AVE, DELANODELANO CA 93215",38,Community,Residential Area              ,Private,Groundwater,2,1,0,0,0,Kern
CA2000866   ,AGRILAND FARMING CO INC,SHELLEY  HEAD,SBAIRD@HINESHORT.COM,559-674-6062   , CHOWCHILLA CA 93610,60,Non-Transient Non-Community,Industrial/Agricultural       ,Mixed,Groundwater,3,1,0,0,0,Madera
CA3700846   ,AGUA CALIENTE COUNTY PARK,RANDY  FORD, ,, JULIAN CA 92036,400,Non-Community (Transient),Recreation Area               ,Local,Groundwater,141,0,2,0,0,San Diego
CA1900768   ,AGUA DULCE WATER SYSTEM,,,,,90,Non-Community (Transient),Restaurant                    ,Private,Groundwater,3,1,0,0,0,Los Angeles
CA1909646   ,AGUA DULCE WINERY,JUDY KOYAMA, ,,9830-9640 SIERRA HIGHWAYAGUA DULCE CA 91390,113,Non-Community (Transient),Other Residential Area        ,Private,Groundwater,4,3,0,0,0,Los Angeles
CA4400656   ,AGUA PUERCA MUTUAL WATER ASSN (SSWS),,,,,17,Non-Public,Residential Area              ,Private,Groundwater,5,1,0,0,0,Santa Cruz
CA2702393   ,AGUAJITO RD WTR SYS,,,, CARMEL CA 93923,0,Non-Public,,Private,Groundwater,14,1,0,0,0,Monterey
CA3302033   ,AGUILERA RANCH,,,, THERMAL CA 92274,24,Non-Public,,Private,Unknown,10,0,0,0,0,Riverside
CA2000537   ,AHWAHNEE QUIK MART,NAU-RATTAN  SIDHU,OWNER,559-683-4332   , AHWAHNEE CA 93601,35,Non-Community (Transient),Service Station               ,Mixed,Groundwater,1,1,0,0,0,Madera
CA3302079   ,AIDA AGUIRRE,,,, THERMAL CA 92274,50,Community,Residential Area              ,Private,Groundwater,20,1,0,0,0,Riverside
CA4500230   ,AIRPORT COMMERCIAL PLAZA,DOUG KING, ,530-222-1116   , REDDING CA 96002,25,Non-Transient Non-Community,Other Transient Area          ,Private,Groundwater,6,1,0,0,0,Shasta
CA4500274   ,AIRPORT INDUSTRIAL PARK,MIKEL RASTEGAR, ,310-734-6666   , REDDING CA 96002,65,Non-Transient Non-Community,Other Transient Area          ,Private,Groundwater,21,1,0,0,0,Shasta
CA4500333   ,AIRPORT PLANET WATER,,,916-489-5662   , REDDING CA 96002,35,Non-Community (Transient),Restaurant                    ,Private,Groundwater,3,1,0,0,0,Shasta
CA2400155   ,AKAL APARTMENTS,,,, LIVINGSTON CA 95334,24,Non-Public,Residential Area              ,Private,Groundwater,6,1,0,0,0, 
CA5400810   ,AKAL TRAVEL PLAZA,YAD VIRK,OWNER,805-610-4397   ,1748 HWY 99DELANO CA 93215,200,Non-Community (Transient),Restaurant                    ,Private,Groundwater,3,1,1,0,0,Tulare
CA5401038   ,AKIN WATER CO,JIM AKIN,OWNER,559-788-0535   ,642 E. HENDERSON AVEPORTERVILLE CA 93257,50,Community,Residential Area              ,Private,Groundwater,22,2,0,0,0,Tulare
CA3701241   ,AL BAHR SHRINE CAMP,DON  REYNOLDS, ,619-473-8009   , MOUNT LAGUNA CA 91948,100,Non-Community (Transient),Recreation Area               ,Private,Groundwater,120,1,0,0,0,San Diego
CA0900646   ,AL TAHOE ELEM/STMS (WATER SYS),STEVE MORALES, ,530-543-2219   , SO LAKE TAHOE CA 96150,1000,Non-Transient Non-Community,School                        ,Local,Groundwater,4,1,0,0,0,El Dorado
CA1400104   ,AL'S MOBILE HOME PARK,,,, LONE PINE CA 93545,20,Unknown,Mobile Home Park              ,Private,Groundwater,12,1,0,0,0,Inyo
CA3400100   ,ALAMAR MARINA,,,, SACRAMENTO CA 95837,100,Non-Community (Transient),Recreation Area               ,Private,Groundwater,3,1,0,0,0,Sacramento
CA0105020   ,ALAMEDA COUNTY FAIRGROUNDS,BETH WILCOX,MAINTENANCE,925-426-7656   ,4501 PLEASANTON AVEPLEASANTON CA 94566,82,Non-Transient Non-Community,Recreation Area               ,Mixed,Groundwater,3,2,2,0,0,Alameda
CA0110001   ,ALAMEDA COUNTY WATER DISTRICT,ROBERT SHAVER,GENERAL MANAGER,510-668-4201   , FREMONT CA 94537,340000,Community,Residential Area              ,Local,Surface Water,82487,24,4,1,2,Alameda
CA0110016   ,ALAMEDA POINT,EILEEN WHITE,MANAGER OF OPERATION,510-287-1149   ,"ALAMEDA POINT, ALAMEDA CA 94501",750,Community,Other Area                    ,Local,Surface Water Purchased,349,0,0,0,1,Alameda
CA3301989   ,ALAMO DISCOUNT STORE,BHARAT PATEL, ,, THERMAL CA 92274,100,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,1,1,0,0,0,Riverside
CA4300843   ,ALAMO FARMS MUTUAL WATER CO,,,,,0,Non-Public,Residential Area              ,Unknown,Unknown,10,0,0,0,0,Santa Clara
CA2702572   ,ALBA WS,CHRIS BROWN,PRESIDENT,, SALINAS CA 93908,70,Non-Transient Non-Community,School                        ,Private,Groundwater,4,1,0,0,0,Monterey
CA1900707   ,ALBERT EINSTEIN ACADEMY OF LEARNING,ANTHONY MORRISON, ,,"ACTON AGUA DULCE UNIFIED SCHOOL DIST, AGUA DULCE CA 93510",415,Non-Transient Non-Community,School                        ,Local,Groundwater,6,1,1,0,0,Los Angeles
CA2300512   ,ALBION FIELD STATION,GILBERT MUTH,DIRECTOR,707-965-2607   ,34100 ALBION STREETALBION CA 95410,150,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,26,1,1,0,0,Mendocino
CA2300502   ,ALBION MUTUAL WATER COMPANY,JOHN JOHANSON,SECRETARY,707-937-3487   ,ALBION RIDGE RD-1/4 MILE EAST OF HWY 101ALBION CA 95410,40,Community,Residential Area              ,Private,Groundwater,26,2,1,0,0,Mendocino
CA2300619   ,ALBION RIVER CAMPGROUND,JOE NANYA,MANAGER,415-922-4141   ,33750 S ALBION ROADALBION CA 95410,400,Non-Community (Transient),Recreation Area               ,Private,Groundwater under direct influence,120,3,1,0,1,Mendocino
CA2300811   ,ALBION RIVER INN,PETER WELLS,OWNER,707-937-1979   ,"3790 N. HWY 1, ALBION CA 95410",55,Non-Community (Transient),Hotel/Motel                   ,Private,Groundwater,16,1,1,0,0,Mendocino
CA3810703   ,ALCATRAZ ISLAND,JIM CALVINPEREZ,PROJECT MANAGER,415-912-7976   ,201 FORT MASONSAN FRANCISCO CA 94123,5026,Non-Transient Non-Community,Other Non-Transient Area      ,Federal,Unknown,1,0,0,0,1,San Francisco
CA2710001   ,ALCO WATER SERVICE,THOMAS ADCOCK,PRESIDENT,831-424-0441   ,"249 WILLIAMS ROAD, SALINAS CA 93905",29179,Community,Residential Area              ,Private,Groundwater,8871,9,9,0,0,Monterey
CA5800009   ,ALCOUFFE COMMUNITY CENTER,PETE HAMMONTRE, ,530-692-0245   ,9185 MARYSVILLE RDOREGON HOUSE CA 95962,50,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,2,1,0,0,0,Yuba
CA0810800   ,ALDER CONSERVATION CAMP,LONNIE LEVI,OPERATOR,707-464-7414   ,"1400 ALDER CAMP RD., KLAMATH CA 95548",135,Non-Transient Non-Community,Institution                   ,State Government,Groundwater under direct influence,1,2,2,0,0,Del Norte
CA0900551   ,ALDER INN,SPENCE ROMINE, ,229-292-3313   , SOUTH LAKE TAHOE CA 96150,25,Non-Community (Transient),Hotel/Motel                   ,Private,Groundwater,3,1,0,0,0,El Dorado
CA1000001   ,ALDER SPRINGS,ALBERT MEJIA,PRESIDENT,559-855-3092   ,43508 ALDER SPRINGS RDAUBERRY CA 93602,73,Community,Residential Area              ,Private,Groundwater,22,1,0,0,0,Fresno
CA4300516   ,ALDERCROFT HEIGHTS COUNTY WATER DISTRICT,CELIA FRANCIS,BOARD PRESIDENT,408-353-5942   ,"PATRICIA ROTHCHILD, LOS GATOS CA 95030",338,Community,Residential Area              ,Local,Surface Water,116,1,1,1,0,Santa Clara
CA1200501   ,ALDERPOINT COUNTY WATER,DELORES HEIL,SECRETARY,707-926-5161   ,"15 MI. E. OF GARBERVILLE, ALDERPOINT CA 95511",219,Community,Residential Area              ,Local,Surface Water,79,0,1,1,0,Humboldt
CA4200731   ,ALEGRIA MWC,,,, GAVIOTA CA 93117,54,Community,Residential Area              ,Private,Groundwater,15,3,1,0,0,Santa Barbara
CA4900646   ,ALEXANDER VALLEY ACRES WATER COMPANY,DANIEL ROSE,PRESIDENT,707-433-5667   ,4050 OLD BARN ROADHEALDSBURG CA 95448,28,Community,Residential Area              ,Private,Groundwater,16,2,0,0,0,Sonoma
CA4901337   ,ALEXANDER VALLEY RV PARK & CAMPGROUND,DAVE DELIRA,ENGINEERING MANAGER,707-431-4067   ,2411 ALEXANDER VALLEY ROADHEALDSBURG CA 95448,230,Non-Community (Transient),Other Area                    ,Private,Groundwater,85,1,1,0,0,Sonoma
CA4900107   ,ALEXANDER VALLEY STORE & BAR,JIM CONNELL, ,707-431-8845   ,6487 HIGHWAY 128HEALDSBURG CA 95448,25,Non-Community (Transient),Restaurant                    ,Private,Groundwater,2,1,1,0,0,Sonoma
CA4900704   ,ALEXANDER VALLEY UNION SCHOOL DISTRICT,BOB RAINES,SUPERINTENDENT,707-433-1375   ,8511 HIGHWAY 128HEALDSBURG CA 95448,200,Non-Transient Non-Community,School                        ,Local,Groundwater,5,1,1,0,0,Sonoma
CA5700768   ,ALFOREX SEEDS LLC,,,,,28,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Groundwater,1,2,1,0,0, 
CA3303014   ,ALHATTI CHRISTIAN MOUNTAIN RES,KEN EDWARDS, ,, ALANDALE CA 92549,40,Non-Community (Transient),Recreation Area               ,Private,Groundwater,25,2,0,0,0,Riverside
CA5403144   ,ALI MUTUAL WATER CO,MOHAMMED ALSAHYBI, ,559-300-2785   ,14002 AVE 232TULARE CA 93274,25,Community,Service Station               ,Private,Groundwater,13,1,1,0,0,Tulare
CA1000199   ,ALICE MANOR,BRETT COOK,ADMINISTRATOR,559-834-2519   ,8448 E ADAMS AVEFOWLER CA 93625,46,Community,Institution                   ,Private,Groundwater,1,1,1,0,0,Fresno
CA0900219   ,ALL OUTDOORS ADVENTURE TRIPS,SCOTT ARMSTRONG, ,,,100,Non-Community (Transient),Recreation Area               ,Private,Groundwater,4,2,0,0,0,El Dorado
CA2702255   ,ALL SAINTS CAMPGROUND WS,RAY SANBORN, ,831-667-2409   , BIG SUR CA 93920,25,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,2,1,1,0,0,Monterey
CA0707800   ,ALL STAR ACADEMY OF DANVILLE,BRIAN OAS, ,, PLEASANTON CA 94588,30,Non-Community (Transient),Other Transient Area          ,Private,Groundwater,2,1,0,0,0, 
CA4400692   ,ALLAN LANE WATER ASSOCIATION,KRISTIN  MOSHER, ,831-724-2590   , CORRALITOS CA 95076,54,Community,Residential Area              ,Private,Groundwater,16,1,0,0,0,Santa Cruz
CA0300021   ,ALLAN ROAD HOMEOWNERS,ALLAN ROAD HOMEOWNER  CA0300021, ,, VOLCANO CA 95689,24,Non-Public,Residential Area              ,Private,Groundwater,12,0,0,0,0,Amador
CA4600012   ,ALLEGHANY COUNTY W.D.,RAE BELL ARBOGAST,CHAIRMAN,530-287-3223   ,"#42, ALLEGHANY CA 95910",80,Community,Residential Area              ,Local,Surface Water,55,0,1,1,0,Sierra
CA1500483   ,ALLEN ROAD MUTUAL WATER SYSTEM,DAVID PATRICK,BOARD PRES.,,"13101 BRIMHALL ROAD, BAKERSFIELD CA 93312",207,Community,Residential Area              ,Private,Groundwater,59,2,1,0,0,Kern
CA5400544   ,ALLENSWORTH CSD,SHERRY HUNTER,BOARD PRESIDENT,661-849-3894   ,3336 RD 84ALLENSWORTH CA 93219,400,Community,Residential Area              ,Local,Groundwater,110,2,0,0,0,Tulare
CA3600005   ,ALLIANCE PIPELINE ASSOCIATION,,,,S 22 T2N/R1WBIG BEAR LAKE CA 92315,25,Non-Public,Recreation Area               ,Private,Groundwater,14,1,0,0,0,San Bernardino
CA4900943   ,ALLIANCE REDWOODS CONFERENCE GROUNDS,JIM BLAKE,DIRECTOR,707-874-3507   ,6250 BOHEMIAN HIGHWAYOCCIDENTAL CA 95465,37,Community,Residential Area              ,Private,Groundwater,74,2,1,0,0,Sonoma
CA1300668   ,ALLIED WASTE OF IMPERIAL VALLEY,,,,3354 DOGWOOD RDIMPERIAL CA 92251,45,Non-Transient Non-Community,Industrial/Agricultural       ,Private,Surface Water,1,0,1,1,0,Imperial
CA2000641   ,ALMADEN - MADERA,ANDREW  ROEDER, ,559-313-0718   , MADERA CA 93638,60,Non-Transient Non-Community,Industrial/Agricultural       ,Mixed,Groundwater,3,3,0,0,0,Madera
CA4300835   ,ALMADEN RANCH ESTATES,,,,,0,Non-Public,Residential Area              ,Unknown,Unknown,13,0,0,0,0,Santa Clara
CA3200135   ,ALMANOR COMMUNITY WELL MWC,WALTER STILES, ,530-624-1805   , ALMANOR CA 96137,33,Non-Public,Residential Area              ,Private,Groundwater,33,1,0,0,0,Plumas
CA3200139   ,ALMANOR HEIGHTS MWC,JOHN FOURCROY, ,530-864-9372   ," LAKE ALMANOR, CA 95923",25,Non-Community (Transient),Residential Area              ,Private,Groundwater,37,1,0,0,0,Plumas
CA3200167   ,ALMANOR LAKE ESTATES MWC,RICK TANAKA,SYSTEM OPERATOR,530-596-4132   , EAST LAKE ALMANOR CA 96020,18,Non-Public,Residential Area              ,Private,Groundwater,9,1,0,0,0,Plumas
CA4000631   ,ALMIRA WATER ASSOCIATION,MIKE  STEINBOCK,TREATMENT OPERATOR,805-466-1145   , PASO ROBLES CA 93446,40,Community,Residential Area              ,Private,Groundwater,15,1,1,0,0,San Luis Obispo
