"","kml_key","pwsid","pwsname","created","owner","edited","editor","src_key","src_detail","stat_key","verifier","verify_dt","start_dt","end_dt","deriv_from","current","population","connection","locadd","locstreet","loccity","loczip","locstate","county","phone","pws_class","p_m_status"
"10",1376,"5000218","COUNTRY VILLA APTS","2011-09-27T14:19:11.247",3649,"2011-09-27T14:19:09.253",3649,1,"Uploaded CountryVilla_5000218.kml; drawn in GE, uploaded by ICE/KT",0,NA,NA,NA,NA,NA,"0","30","23","2719 GEER RD",NA,"HUGHSON","95326","CA","STANISLAUS","999-999-9999","C","A"
"11",411,"2800526","NAPA COUNTY PUBLIC WORKS-LBRID","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE received from Napa County and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","500","179","2446 STAGECOACH CANYON ROAD",NA,"POPE VALLEY","94567","CA","NAPA","999-999-9999","C","A"
"12",2464,"2910011","PLAVADA COMMUNITY ASSOCIATION","2012-12-18T12:57:56.797",7240,"2012-12-18T13:03:03.717",7240,1,"Created from user-digitized polygon.",1,NA,NA,NA,NA,NA,"0","478","240","P.O. BOX 1035","5000 Plavada Drive","SODA SPRINGS","95728","CA","NEVADA","999-999-9999","C","A"
"13",828,"4910010","SONOMA COUNTY CSA 41-FITCH MOUNTAIN","2011-06-13T15:32:46.503",3649,"2011-06-13T15:32:48.670",3649,1,"Uploaded Fitch_Mountain_County_Water_Service_Area_41_Boundary.shp; Shapefile data received at ICE from Sonoma County, March 2011",0,NA,NA,NA,NA,NA,"0","900","335","COMM OF FITCH MT-1 MILE EAST OF HLDSBRG","575 Administration Dr/Public Wrks","SANTA ROSA","95403","CA","SONOMA","999-999-9999","C","A"
"14",128,"1510011","BUTTONWILLOW CWD","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from CaSIL Private Water Districts (2009) and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","1266","442","P O BOX 274",NA,"BUTTONWILLOW","93206","CA","KERN","999-999-9999","C","A"
"15",1611,"1000279","U.C. KEARNEY FIELD STATION F","2011-10-17T11:31:34.463",3650,"2011-10-17T11:31:30.833",3650,1,"Uploaded UCKearneyFieldStationF_1000279.kml_drawn_GE_ICE/MF_F_means_Fresno",0,NA,NA,NA,NA,NA,"0","100","32","9240 S. RIVERBEND AVE",NA,"PARLIER","93648","CA","FRESNO","999-999-9999","P","A"
"16",283,"1910125","PICO WD","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from LA County and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","24000","5324","4843 S. CHURCH STREET","P.O. BOX 758","PICO RIVERA","90660","CA","LOS ANGELES","999-999-9999","C","A"
"17",1519,"0901244","STUMPY MEADOWS CAMPGROUND","2011-10-05T15:26:33.193",3650,"2011-10-05T15:26:36.677",3650,1,"Uploaded StumpyMeadowsCampground_901244.kml_drawn_GE_ICE/MF_best_guess",0,NA,NA,NA,NA,NA,"0","100","62","WENTWORTH SPRINGS RD",NA,"GEORGETOWN","95634","CA","EL DORADO","999-999-9999","N","A"
"18",2359,"1800574","JOHNSTONVILLE ELEMENTARY SCHOOL","2012-08-28T11:05:16.263",7818,"2012-08-28T14:26:41.073",7818,1,"Created from user-digitized polygon.",2,NA,NA,NA,NA,NA,"1","234","1","704-795 BANGHAM LANE",NA,"SUSANVILLE","96130","CA","LASSEN","999-999-9999","P","A"
"19",674,"4500001","SHASTA CO CSA # 25 KESWICK","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from CaSIL Federal (?) Water Districts (2009) and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","475","201","1855 PLACER STREET","KESWICK","KESWICK","96001","CA","SHASTA","999-999-9999","C","A"
"20",2610,"1910204","LOS ANGELES CO WW DISTRICT 29 & 80-MALIB","2013-04-01T13:31:02.353",8024,"2013-04-01T13:34:50.460",8024,1,"Uploaded CA1910204.shp",2,NA,NA,NA,NA,NA,"1","25585","7513","900 S. FREMONT AVENUE",NA,"ALHAMBRA","91803","CA","LOS ANGELES","999-999-9999","C","A"
"21",1592,"1000261","LAKERIDGE CAMPING/BOATING RSRT","2011-10-14T16:52:10.367",3650,"2011-10-14T16:52:07.667",3650,1,"Uploaded LakeridgeCampingBoatingRsrt_1000261.kml_drawn_GE_ICE/MF",0,NA,NA,NA,NA,NA,"0","62","107","30547 SUNNYSLOPE RD",NA,"PIEDRA","93649","CA","FRESNO","999-999-9999","N","A"
"22",2592,"3600322","MID HILLS","2013-03-20T12:00:40",8068,"2013-03-20T12:04:04.457",8068,1,"Created from user-digitized polygon.",1,NA,NA,NA,NA,NA,"0","25","1","12N 14E SEC 12","12N, 14E, SEC 12","NEEDLES","92363","CA","SAN BERNARDINO","999-999-9999","N","A"
"23",2226,"5400527","SHILOH WATER CO.","2012-08-22T15:38:09.910",123,"2012-08-22T15:38:10.973",123,2,"Batch import from Tu_AllPolygons.shp; Source: Carolina Balazs, PhD (2012)",2,NA,NA,NA,NA,NA,"1","75","20","52 N WISCONSIN ST",NA,"PORTERVILLE","93257","CA","TULARE","999-999-9999","C","A"
"24",2601,"1410002","LADWP - INDEPENDENCE","2013-03-27T12:47:59.643",8083,"2013-03-27T12:49:08.797",8083,1,"Uploaded Independence.shp",2,NA,NA,NA,NA,NA,"1","586","1","300 MANDICH STREET",NA,"INDEPENDENCE","93526","CA","INYO","999-999-9999","C","A"
"25",2121,"1510015","OILDALE MWC","2012-03-30T14:28:30.203",5868,"2012-03-30T14:41:35.707",5868,1,"Created from user-digitized polygon. 3/30/2012",2,NA,NA,NA,NA,NA,"1","260000","8110","P O BOX 5638",NA,"OILDALE","93388","CA","KERN","999-999-9999","C","A"
"26",189,"1910001","CITY OF ALHAMBRA","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from LA County and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","92158","17992","900 S. New Ave.",NA,"ALHAMBRA","91801","CA","LOS ANGELES","999-999-9999","C","A"
"27",1590,"1000259","NEW HORIZONS MOBILE/RV PARK","2011-10-14T16:38:07.850",3650,"2012-05-07T18:22:17.727",7640,1,"Uploaded NewHorizonsMobileRVPark_1000259.kml_drawn_GE_ICE/MF",2,NA,NA,NA,NA,NA,"1","70","66","3147 W OLIVE AVE",NA,"FRESNO","93711","CA","FRESNO","999-999-9999","C","A"
"28",2791,"1810700","SIERRA ARMY DEPOT-HERLONG","2013-09-09T09:50:14.800",7803,"2013-09-09T09:52:36.027",7803,1,"Created from user-digitized polygon.",2,NA,NA,NA,NA,NA,"1","1500","285",NA,NA,"HERLONG","96113","CA","LASSEN","999-999-9999","C","A"
"29",1422,"0800635","KAMP KLAMATH CORP.","2011-09-29T15:49:07.673",3650,"2011-09-29T15:49:06.340",3650,1,"Uploaded KampKlamathCorp_800635.kml_drawn_GE_ICE/MF_updated_address",0,NA,NA,NA,NA,NA,"0","110","1",NA,"1661 W Klamath Beach Rd.","KLAMATH","95548","CA","DEL NORTE","999-999-9999","N","A"
"30",1930,"3310052","LAKE HEMET-GARNER VALLEY","2012-03-05T16:06:13.347",7381,"2012-03-05T16:07:25.043",7381,1,"Created from user-digitized polygon.",1,NA,NA,NA,NA,NA,"0","765","241","P.O. BOX 5039","2480 E. Florida Ave.","HEMET","92544","CA","RIVERSIDE","999-999-9999","C","A"
"31",2159,"1000460","R F DUNCAN TRUST WATER SYSTEM","2012-04-26T08:27:30.650",4537,"2012-04-26T08:28:07.827",4537,1,"Created from user-digitized polygon.",2,NA,NA,NA,NA,NA,"1","25","1","6925 E BELMONT",NA,"FRESNO","93727","CA","FRESNO","999-999-9999","N","A"
"32",2025,"3010047","GOLDEN STATE WC - COWAN HEIGHTS","2012-03-12T11:19:17.297",7368,"2012-04-17T11:04:11.737",7368,1,"Uploaded CowanHeights_GoldenStateWaterCompany.shp",2,NA,NA,NA,NA,NA,"0","8869","2562","1920 W. CORPORATE WAY","500 E. Cameron St. Placentia 92670","ANAHEIM","92870","CA","ORANGE","999-999-9999","C","A"
"33",1174,"2702163","HILLTOP MWA","2011-09-04T11:50:52.080",123,"2011-09-04T11:51:16.987",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","100","6","1276 HWY 1","SALINAS RD","MOSS LANDING","95039","CA","MONTEREY","999-999-9999","P","A"
"34",14,"0410002","CAL-WATER SERVICE CO.-CHICO","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from CaSIL Private Water Districts (2009) and linked to PICME pwsid; CEHTP divided out individual systems",0,NA,NA,NA,NA,NA,"0","100086","26698","2222 MARTIN LUTHER KING PARKWAY",NA,"CHICO","95928","CA","BUTTE","999-999-9999","C","A"
"35",1126,"2701550","GOLDEN STATE VINTNERS WS","2011-09-04T11:50:25.970",123,"2011-09-04T11:50:50.877",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","30","1","1777 METZ RD","BRYANT CANYON","SOLEDAD","93960","CA","MONTEREY","999-999-9999","P","A"
"36",1853,"4900546","HAWKINS WATER CO-CAL WATER SERVICE (PUC)","2012-02-07T15:34:13.080",3649,"2012-02-07T15:34:14.017",3649,1,"Uploaded Hawkins_4900546.kml; drawn in GE with Cal Water Svc maps, uploaded by ICE/KT",0,NA,NA,NA,NA,NA,"0","150","51","1254 YUBA DRIVE",NA,"SANTA ROSA","95407","CA","SONOMA","999-999-9999","C","A"
"37",1434,"0810800","ALDER CONSERVATION CAMP","2011-09-30T15:13:23.790",3650,"2011-09-30T15:13:21.553",3650,1,"Uploaded AlderConservationCamp_810800.kml_drawn_GE_ICE/MF",0,NA,NA,NA,NA,NA,"0","135","1","P.O. BOX 905","1400 Alder Camp Rd.","KLAMATH","95548","CA","DEL NORTE","999-999-9999","P","A"
"38",1303,"3500526","ARNOLD PARK (O BANNON S MHP)","2011-09-16T14:45:52.610",3649,"2011-09-16T14:45:49.157",3649,1,"Uploaded ArnoldPark_3500526.kml; drawn in GE, uploaded by ICE/KT",0,NA,NA,NA,NA,NA,"0","28","14","CHARLOTTE O BANNON","411 McCloskey Rd #11","HOLLISTER","95023","CA","SAN BENITO","999-999-9999","C","A"
"39",2416,"3610046","VALLEY VIEW PARK MWC","2012-11-21T08:58:16.997",7544,"2012-11-21T12:20:40.340",7544,1,"Created from user-digitized polygon.",2,NA,NA,NA,NA,NA,"1","499","215","P.O. BOX 301",NA,"CRESTLINE","92325","CA","SAN BERNARDINO","999-999-9999","C","A"
"40",2446,"1400193","Sabrina Campground","2012-12-04T15:23:45.980",3750,"2012-12-04T15:23:12.557",3750,1,"Created from user-digitized polygon.",1,NA,NA,NA,NA,NA,"0","30","1",NA,NA,"Bishop","93514","CA","INYO","999-999-9999","N","A"
"41",1152,"2701929","COUNTRY MEADOWS MWC","2011-09-04T11:50:41.280",123,"2011-09-04T11:51:06.177",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","294","108","COUNTRY MEADOWS RD","HARRISON RD","SALINAS","93907","CA","MONTEREY","999-999-9999","C","A"
"42",1935,"3010018","CITY OF LA HABRA","2012-03-05T17:13:50.427",123,"2012-03-05T17:13:50.600",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/mwdoc/mwdoc.shp.",2,NA,NA,NA,NA,NA,"1","61454","12548","621 WEST LAMBERT ROAD",NA,"LA HABRA","90631","CA","ORANGE","999-999-9999","C","A"
"43",213,"1910026","COMPTON-CITY, WATER DEPT.","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from LA County and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","71000","13762","205 S. WILLOWBROOK AVENUE","322 SOUTH ALAMEDA","COMPTON","90220","CA","LOS ANGELES","999-999-9999","C","A"
"44",1405,"0710010","RANDALL-BOLD WATER TREATMENT PLANT","2011-09-28T16:45:26.263",3650,"2011-09-28T16:45:24.570",3650,1,"Uploaded RandallBoldWaterTreatmentPlant_710009.kml_drawn_GE_ICE/mf",0,NA,NA,NA,NA,NA,"0","0","3","C/O CONTRA COSTA WATER DISTRICT","P.O.Box H2O","CONCORD","94524","CA","CONTRA COSTA","999-999-9999","C","A"
"45",918,"0300077","Charles Spinetta Winery","2011-07-25T13:46:14.643",3650,"2011-07-25T13:46:13.693",3650,1,"Uploaded CharlesSpinettaWinery_300077.kml_Drawn_GE_ICE/MF",0,NA,NA,NA,NA,NA,"0","1600","1","12557 Steiner Rd",NA,"Plymouth","95669","CA","AMADOR","999-999-9999","N","A"
"46",1056,"2700629","MANZANITA HILLS WA","2011-09-04T11:49:45.030",123,"2011-09-04T11:50:09.933",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","75","31","LEWIS RD","SAN MIGUEL CYN RD","ROYAL OAKS","95076","CA","MONTEREY","999-999-9999","C","A"
"47",2965,"1910238","LOCKHEED MARTIN SKUNK WORKS","2014-09-18T14:54:39.523",3649,"2014-09-18T14:54:41",3649,1,"Created from user-digitized polygon.",0,NA,NA,NA,NA,NA,"0","280","49","AIR FORCE PLANT 42",NA,"PALMDALE","93550","CA","LOS ANGELES","999-999-9999","P","A"
"48",42,"0910007","LUKINS BROTHERS WATER COMPANY","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from CaSIL Private Water Districts (2009) and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","250","952","2031 WEST WAY",NA,"SOUTH LAKE TAHOE","96150","CA","EL DORADO","999-999-9999","C","A"
"49",1221,"2702572","ALBA WS","2011-09-04T11:51:16.860",123,"2011-09-04T11:51:41.760",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","70","4","1700 OLD STAGE RD",NA,"SALINAS","93908","CA","MONTEREY","999-999-9999","P","A"
"50",1352,"4000653","RANCHO COLINA MOBILE HOME PARK","2011-09-26T11:49:33.857",3649,"2011-09-26T11:49:31.537",3649,1,"Uploaded RanchoColinaMHP_4000653.kml;drawn in GE, uploaded by ICE/KT",0,NA,NA,NA,NA,NA,"0","250","126","1045 ATASCADERO RD",NA,"MORRO BAY","93442","CA","SAN LUIS OBISPO","999-999-9999","C","A"
"51",55,"1000345","PANOCHE WATER DISTRICT","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from CaSIL Federal (?) Water Districts (2009) and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","146","4","52027 W ALTHEA",NA,"FIREBAUGH","93622","CA","FRESNO","999-999-9999","C","A"
"52",1594,"1000264","SUNNYSLOPE CAMPGROUNDS","2011-10-14T17:00:49.460",3650,"2011-10-14T17:00:46.757",3650,1,"Uploaded SunnyslopeCampgrounds_1000264.kml_drawn_GE_ICE/MF",0,NA,NA,NA,NA,NA,"0","95","96","29925 SUNNYSLOPE RD",NA,"PIEDRA","93649","CA","FRESNO","999-999-9999","N","A"
"53",1167,"2702055","VIERRA KNOLLS MWC","2011-09-04T11:50:50.283",123,"2011-09-04T11:51:15.167",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","66","22","VIERRA CANYON RD","HWY 101","SALINAS","93907","CA","MONTEREY","999-999-9999","C","A"
"54",2382,"1400006","Pine Creek Village","2012-10-31T13:13:23.140",3750,"2012-11-27T15:48:34.980",3750,1,"Created from user-digitized polygon.",2,NA,NA,NA,NA,NA,"1","350","89","23 Idaho, RR 2 Box 23, Bishop, CA 93514","Pine Creek Road","Bishop","93514","CA","INYO","999-999-9999","C","A"
"55",2634,"2700511","NORMCO WC","2013-04-18T14:00:19.340",6195,"2013-04-18T14:04:42.327",6195,1,"Created from user-digitized polygon.",2,NA,NA,NA,NA,NA,"1","928","290","BERTA CANYON RD","HWY 101","SALINAS","93907","CA","MONTEREY","999-999-9999","C","A"
"56",2813,"3610705","US ARMY FORT IRWIN","2013-09-27T11:41:41.033",3649,"2013-09-27T11:41:54.857",3649,1,"Created from user-digitized polygon.Best guess drawn by ICE/KT",1,NA,NA,NA,NA,NA,"0","16000","5953","Bldg 602, Fifth St.","ATTN: AFZJ-PW-EV-P.O. Box 105097","FORT IRWIN","92310","CA","SAN BERNARDINO","999-999-9999","C","A"
"57",863,"1000247","SHERWOOD FOREST MHP","2011-06-30T16:16:33.747",3649,"2011-06-30T16:16:30.430",3649,1,"Uploaded SherwoodForestMHP_1000247.kml; drawn in GE, uploaded by ICE/KT",0,NA,NA,NA,NA,NA,"0","86","49","339 N FRANKWOOD",NA,"SANGER","93657","CA","FRESNO","999-999-9999","C","A"
"58",2228,"5400536","KINGS RIVER ESTATES","2012-08-22T15:38:10.320",123,"2012-08-22T15:38:11.387",123,2,"Batch import from Tu_AllPolygons.shp; Source: Carolina Balazs, PhD (2012)",2,NA,NA,NA,NA,NA,"1","100","35","39890 KINGS RIVER DR",NA,"KINGSBURG","93631","CA","TULARE","999-999-9999","C","A"
"59",1429,"0800861","RESERVATION RANCH","2011-09-30T10:04:31.137",3650,"2011-09-30T10:04:28.830",3650,1,"Uploaded ReservationRanch_800861.kml_drawn_GE_ICE/MF_also_named_Dahlstrom_and_Watt_Bulb_Farm",0,NA,NA,NA,NA,NA,"0","50","20","RESERVATION RANCH","P.O. Box 75","CRESCENT CITY","95567","CA","DEL NORTE","999-999-9999","C","A"
"60",1556,"1000178","I-5 AND HWY 198 REST AREA","2011-10-12T16:29:50.163",3650,"2011-10-12T16:29:45.930",3650,1,"Uploaded I5AndHwy198RestArea_1000178.kml_drawn_GE_ICE/MF",0,NA,NA,NA,NA,NA,"0","225","17","DORRIS & I-5",NA,"COALINGA","93210","CA","FRESNO","999-999-9999","P","A"
"61",226,"1910041","THREE VALLEYS MWD","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from CaSIL Private Water Districts (2009) and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","73493","12","1021 MIRAMAR AVENUE",NA,"CLAREMONT","91711","CA","LOS ANGELES","999-999-9999","C","A"
"62",1208,"2702490","CENTRAL BAY HIGH SCHOOL WS","2011-09-04T11:51:08.980",123,"2011-09-04T11:51:33.883",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","250","1","17500 PESANTE RD","HWY 101","SALINAS","93907","CA","MONTEREY","999-999-9999","P","A"
"63",2069,"4900943","ALLIANCE REDWOODS CONFERENCE GROUNDS","2012-03-19T12:13:24.480",7442,"2012-03-19T12:46:11.530",7442,1,"Carried over from service area having end date 2012-03-18 12:13:25.324.",1,NA,NA,"1999-04-08T00:00:00","2012-03-20T00:00:00",2068,"0","350","42","6250 BOHEMIAN HWY","6250 BOHEMIAN HWY","OCCIDENTAL","95465","CA","SONOMA","999-999-9999","C","A"
"64",1113,"2701278","RANCHO CHAPARRAL MWC","2011-09-04T11:50:19.570",123,"2011-09-04T11:50:44.467",123,2,"Batch import from http://www.ehib.org/tools/_69/_123/monterey/LPA_Service_Area_Monterey_County.shp.",2,NA,NA,NA,NA,NA,"1","48","16","PFEIFFER RIDGE","HWY 1","BIG SUR","93920","CA","MONTEREY","999-999-9999","C","A"
"65",135,"1510021","WASCO, CITY OF","2009-06-30T00:00:00",123,"2012-03-15T13:52:19.620",7465,2,"ICE downloaded from CaSIL Private Water Districts (2009) and linked to PICME pwsid",2,NA,NA,NA,"2012-03-14T13:53:00",NA,"0","19511","4543","P O BOX 159",NA,"WASCO","93280","CA","KERN","999-999-9999","C","A"
"66",1994,"1910072","GSWC - WILLOWBROOK","2012-03-09T09:24:40.523",7368,"2012-04-17T11:12:20.650",7368,1,"Uploaded WillowBrook_GoldenStateWaterCompany.shp",2,NA,NA,NA,NA,NA,"1","4547","1370","12035 BURKE STREET, SUITE 1",NA,"SANTA FE SPRINGS","90670","CA","LOS ANGELES","999-999-9999","C","A"
"67",2560,"4900673","ATHENA TERRACE MUTUAL WATER COMPANY","2013-02-26T13:28:57.690",7884,"2013-02-26T13:29:26.513",7884,1,"Created from user-digitized polygon.",1,NA,NA,NA,NA,NA,"0","74","22","2591 ATHENA COURT","2591 ATHENA COURT","SANTA ROSA","95401","CA","SONOMA","999-999-9999","C","A"
"68",976,"0400111","RIVER REFLECTIONS RV &","2011-07-28T13:50:39.047",3650,"2011-07-28T13:50:39.593",3650,1,"Uploaded RiverReflectionsRV_400111.kml_Drawn_GE_ICE/MF",0,NA,NA,NA,NA,NA,"0","125","50","RIVER REFLECTIONS RV &","4360 PACIFIC HEIGHTS RD","OROVILLE","95965","CA","BUTTE","999-999-9999","N","A"
"69",2973,"1300513","OCOTILLO MUTUAL WATER CO","2014-10-01T11:07:43.553",3649,"2014-10-01T11:08:09.203",3649,1,"Created from user-digitized polygon. Drawn by ICE/KT",1,NA,NA,NA,NA,NA,"0","150","116","Ocotillo Area","OCOTILLO AREA","OCOTILLO","92259","CA","IMPERIAL","999-999-9999","C","A"
"70",2760,"1310018","GATEWAY OF THE AMERICAS","2013-08-15T14:10:54.970",8187,"2013-08-15T14:56:23.083",8187,1,"Created from user-digitized polygon.",1,NA,NA,NA,NA,NA,"0","400","121","115 South 11th Street, Suite 208","1700 East Carr Rd., Calexico, CA 92231","El Centro","92243","CA","IMPERIAL","999-999-9999","C","A"
"71",249,"1910063","LINCOLN AVENUE WATER CO.","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE downloaded from LA County and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","16000","4425","564 W. HARRIET STREET",NA,"ALTADENA","91001","CA","LOS ANGELES","999-999-9999","C","A"
"72",1844,"1510033","CAL WATER SERVICE CO-KERNVILLE SYSTEM","2012-02-07T10:17:55.700",3649,"2012-02-07T10:17:56.280",3649,1,"Uploaded Kernville_1510033.kml; drawn in GE with maps provided by Cal Wtr Svc; uploaded by ICE/KT",0,NA,NA,NA,NA,NA,"0","5118","2026",NA,"BURLANDO RD & SIERRA WAY","KERNVILLE","93238","CA","KERN","999-999-9999","C","A"
"73",59,"1000471","FCSA #39 A&B","2009-06-30T00:00:00",123,"2010-10-08T17:09:26.533",123,2,"ICE received from Fresno County and linked to PICME pwsid",0,NA,NA,NA,NA,NA,"0","350","141","BERAN WY & VALENTINE",NA,"FRESNO","93721","CA","FRESNO","999-999-9999","C","A"
"74",2339,"1009006","PAPPAS & CO (COALINGA)","2012-08-22T19:22:54.667",123,"2012-08-22T19:22:55.120",123,2,"Batch import from Fr_AllPolygons.shp; Source: Carolina Balazs, PhD (2012)",2,NA,NA,NA,NA,NA,"1","25","11","25479 W DORRIS",NA,"COALINGA","93210","CA","FRESNO","999-999-9999","C","A"
"75",1765,"1500508","TWIN PINES MOBILEHOME PARK","2011-12-09T15:31:39.127",3650,"2011-12-09T15:31:40.090",3650,1,"Uploaded TwinPinesMobilehomePark_1500508.kml_drawn_GE_ICE/MF",0,NA,NA,NA,NA,NA,"0","92","40","12016 OLD TOWN ROAD","7033 ROSEDALE HWY","BAKERSFIELD","93312","CA","KERN","999-999-9999","C","A"
"76",1298,"2400172","Sandy Mush Detention Center d.b.a. John","2011-09-16T14:23:52.687",3649,"2011-09-16T14:23:49.237",3649,1,"Uploaded SandyMushDC_2400172.kml; drawn in GE, uploaded by ICE/KT",0,NA,NA,NA,NA,NA,"0","800","157","2584 W. Sandy Mush Rd Bldg Maint",NA,"Merced","95340","CA","MERCED","999-999-9999","C","A"
