"Basin
Subbasin ID",Basin Name,Subbasin Name,Hydrologic Name,Basin - Subbasin Area (acre),Total Rank Scoring,Final Priority,Population (2010),Final Population Rank,"Population Growth
%",Final Population Growth Rank,Total Wells,Final Well Rank (discounted),Total Public Supply Wells,Final Public Supply Well Rank,"Groundwater Volume
(Ac-Ft)",% of total water supply supplied by groundwater,% of total water supply supplied by surface water,Final groundwater volume rank,Final % of total water supply supplied by groundwater rank,Final groundwater Reliance rank,Irrigated Acreage,Final Irrigated Acreage Rank,Impact Ranks,Impact Comments,Other Information Rank,Other Information Comments,Additional Comments
1-33,LARABEE VALLEY,,North Coast,967,0.0,Very Low,9,0,178%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
1-34,DINSMORES TOWN AREA,,North Coast,"2,276",0.0,Very Low,183,1,127%,0,9,1.5,4,5,125,87%,13%,1,5,0,8,1,,,,,GW Use based on B118-03 data
1-35,HYAMPOM VALLEY,,North Coast,"1,354",0.0,Very Low,52,1,212%,0,12,2.25,0,0,201,100%,0%,2,5,0,72,2,,,,,
1-36,HETTENSHAW VALLEY,,North Coast,846,0.0,Very Low,5,0,100%,0,6,1.5,0,0,1,0%,100%,0,0,0,680,5,,,,,GW Use based on B118-03 data
1-37,COTTONEVA CREEK VALLEY,,North Coast,763,0.0,Very Low,1,0,100%,0,3,1.5,0,0,0,0%,100%,0,0,0,0,0,,,,,
1-38,LOWER LAYTONVILLE VALLEY,,North Coast,"2,152",0.0,Very Low,107,1,198%,0,32,2.25,0,0,2,1%,99%,1,1,0,150,2,,,,,
1-39,BRANSCOMB TOWN AREA,,North Coast,"1,381",0.0,Very Low,95,1,256%,0,22,3,0,0,1,1%,99%,1,1,0,23,1,,,,,
1-4,SHASTA VALLEY,SHASTA VALLEY,North Coast,"52,589",20.3,Medium,"5,333",1,153%,5,750,2.25,7,1,"55,000",15%,85%,5,1,3,"26,842",4,1,"High Nitrates, ASAR, and TDS in portions of the basin. TMDL temperature issues along GW fed rivers.",3,"Strong SW-GW Interaction and significant local issues regarding GW mgmt. Basin underflow from Pluto's Cave Basalts and portions of debris flow contribute to surface water flow and low temps in the Shasta River, which supports threatened salmon population.",GW Use based on B118-03 data and Shasta Valley Water Inventory
1-40,TEN MILE RIVER VALLEY,,North Coast,"1,491",0.0,Very Low,61,1,272%,0,46,3,0,0,0,0%,100%,0,0,0,0,0,,,,,B118-03 reports sea water intrusion may be a problem due to connection to Pacific Ocean
1-41,LITTLE VALLEY,,North Coast,812,0.0,Very Low,11,1,100%,0,3,1.5,0,0,0,0%,100%,0,0,0,36,2,,,,,
1-42,SHERWOOD VALLEY,,North Coast,"1,150",0.0,Very Low,13,1,100%,0,7,1.5,0,0,0,0%,100%,0,0,0,0,0,,,,,
1-43,WILLIAMS VALLEY,,North Coast,"1,642",0.0,Very Low,2,0,100%,0,16,2.25,0,0,0,0%,100%,0,0,0,128,2,,,,,
1-44,EDEN VALLEY,,North Coast,"1,376",0.0,Very Low,0,0,0%,0,0,0,0,0,600,55%,45%,3,3,0,381,3,,,,,
1-45,BIG RIVER VALLEY,,North Coast,"1,685",0.0,Very Low,29,1,100%,0,7,1.5,4,5,0,0%,100%,0,0,0,0,0,,,,,B118-03 reports sea water intrusion may be a problem due to connection to Pacific Ocean
1-46,NAVARRO RIVER VALLEY,,North Coast,770,0.0,Very Low,36,1,114%,0,5,1.5,0,0,0,0%,100%,0,0,0,0,0,,,,,B118-03 reports sea water intrusion may be a problem due to connection to Pacific Ocean
1-48,GRAVELLY VALLEY,,North Coast,"2,974",0.0,Very Low,6,0,133%,0,18,1.5,5,5,3,100%,0%,0,5,0,0,0,,,,,PubCom - GW Use and percent of water supplied by GW
1-49,ANNAPOLIS OHLSON RANCH FM HIGHLANDS,,North Coast,"8,646",0.0,Very Low,233,1,127%,0,76,2.25,0,0,3,33%,67%,1,2,0,138,1,,,,,
1-5,SCOTT RIVER VALLEY,,North Coast,"63,780",15.3,Medium,"3,520",1,144%,0,885,2.25,2,1,"50,285",48%,52%,5,3,4,"34,540",4,,,3,GW Basin contributes to surface water flow in the Scott River which supports an threatened/endangered salmon. Adjudicated basin. Currently being reviewed for Public Trust issues regarding GW management.,
1-50,KNIGHTS VALLEY,,North Coast,"4,086",0.0,Very Low,102,1,107%,0,62,2.25,0,0,502,62%,38%,2,4,0,"1,727",4,,,,,
1-51,POTTER VALLEY,,North Coast,"8,237",0.0,Very Low,"1,145",1,94%,0,363,3.75,1,1,"6,045",57%,43%,0,0,0,"4,423",4,,,,,
1-52,UKIAH VALLEY,,North Coast,"37,508",15.8,Medium,"32,761",2,100%,1,"1,689",3.75,29,3,"7,500",32%,68%,2,2,2,"9,361",3,,,1,"2010 Ukiah Valley Water Supply Assessment expresses concerns regarding SWRCB assertion that all or most of the ""groundwater"" in the basin is, for legal purposes, underflow from the Russian River and associated tributaries…which support endangered fishery.",GW Use based on 2010 Mendocino Water Agency Water Supply Assessment for Ukiah Valley
1-53,SANEL VALLEY,,North Coast,"5,568",0.0,Very Low,698,1,103%,0,104,3,5,4,"1,247",60%,40%,2,3,0,"2,258",4,,,,,
1-54.01,ALEXANDER VALLEY,ALEXANDER AREA,North Coast,"24,464",0.0,Very Low,"2,098",1,93%,0,"1,099",3.75,31,4,642,12%,88%,0,1,0,"9,636",4,,,,,
1-54.02,ALEXANDER VALLEY,CLOVERDALE AREA,North Coast,"6,525",0.0,Very Low,"8,297",2,137%,4,592,3.75,16,5,759,59%,41%,2,3,0,"2,339",4,1,Elevated Boron detected in 3 of 3 wells (B-118). Site in Southern Cloverdale is on the EPA's Superfund Priority List (MGM Brakes) VOCs detected in GW (EPA 1983).,,,
1-55.01,SANTA ROSA VALLEY,SANTA ROSA PLAIN,North Coast,"80,059",18.8,Medium,"250,375",3,119%,2,"10,983",3.75,192,5,"13,698",35%,65%,2,2,2,"17,727",3,,,,,
1-55.02,SANTA ROSA VALLEY,HEALDSBURG AREA,North Coast,"15,400",0.0,Very Low,"10,515",2,98%,0,"1,383",3.75,33,5,"3,281",53%,47%,0,0,0,"7,973",4,,,,,
1-55.03,SANTA ROSA VALLEY,RINCON VALLEY,North Coast,"5,549",0.0,Very Low,"21,787",4,122%,3,919,3.75,18,5,577,41%,59%,2,3,0,67,1,,,,,
1-56,McDOWELL VALLEY,,North Coast,"1,486",0.0,Very Low,106,1,100%,0,48,3.75,0,0,307,60%,40%,2,3,0,664,4,,,,,
1-57,BODEGA BAY AREA,,North Coast,"2,676",0.0,Very Low,719,1,106%,0,58,3,6,5,410,100%,0%,2,5,0,0,0,,,,,"GW Use based on report by Bodega Bay PUD for 1994 - 1999, average.  Sea water intrusion possibility due to contact with Pacific Ocean "
1-59,WILSON GROVE FORMATION HIGHLANDS,,North Coast,"86,400",0.0,Very Low,"37,799",2,92%,0,"8,422",3.75,92,4,"3,417",23%,77%,0,0,0,"10,404",2,,,,,
1-6,HAYFORK VALLEY,,North Coast,"3,295",0.0,Very Low,814,1,133%,0,67,3,0,0,"1,019",100%,0%,3,5,0,337,2,,,,,
1-60,LOWER RUSSIAN RIVER VALLEY,,North Coast,"6,640",0.0,Very Low,"3,754",2,117%,2,188,3,38,5,106,11%,89%,2,1,0,"1,219",3,1,"Brackish water found in wells near the Russian River from the river mouth to below Duncan Mills (5 to 6 miles). During a period of extremely low streamflow, saline water might extend 10 miles upstream from river mouth to Monte Rio.(B-118).",,,
1-61,FORT ROSS TERRACE DEPOSITS,,North Coast,"8,483",0.0,Very Low,"1,075",1,115%,2,176,3,13,4,37,67%,33%,1,4,0,0,0,1,"Seawater intrusion is not a common problem but it has occurred in localized areas near Point Arena and Iverson Point (DWR 1982). The Terrace deposits between Alder Creek and Point Arena are susceptible to seawater intrusion (DWR 1982, & B-118).",,,
1-62,WILSON POINT AREA,,North Coast,709,0.0,Very Low,14,1,171%,0,0,0,0,0,100,100%,0%,2,5,0,36,2,,,,,
1-7,HOOPA VALLEY,,North Coast,"3,894",0.0,Very Low,"1,797",2,110%,2,42,2.25,0,0,338,30%,70%,1,2,0,302,2,,,,,
1-8.01,MAD RIVER VALLEY,MAD RIVER LOWLAND,North Coast,"13,981",0.0,Very Low,"14,204",2,114%,2,375,3,1,1,"6,400",20%,80%,0,0,0,"1,162",2,,,,,"1) Changed GW Use from 1664 to 6400 af/yr, based on B118-03 data. 2) Swapped the physical details between .01 and .02 subbasins. Physical details on the basins have always been backward since 2003"
1-8.02,MAD RIVER VALLEY,DOWS PRAIRIE SCHOOL AREA,North Coast,"25,570",0.0,Very Low,"23,086",2,103%,1,555,3,12,3,"2,200",90%,10%,0,0,0,"8,347",4,,,,,1) Changed GW Use from 5114 to 2200 af/yr based on B118-03. 2) Swapped the physical details between .01 and .02 subbasins. (http://www.water.ca.gov/groundwater/bulletin118/north_coast.cfm).
1-9,EUREKA PLAIN,,North Coast,"37,405",0.0,Very Low,"50,231",2,106%,1,878,3,5,1,"4,600",76%,24%,2,4,0,"6,811",3,,,,,"New LWU data indicates GW use of 11K/yr . Urban GW (6,336 AF) is supplied from outside the basin. Not counted in total."
2-1,PETALUMA VALLEY,,San Francisco Bay,"46,043",18.3,Medium,"49,915",2,123%,3,"1,870",3.75,27,3,"2,689",26%,74%,1,2,1.5,"9,270",3,2,Widespread and serious nitrate contamination affecting shallow wells in the upland area NW of Petaluma. Generally poor quality GW south of Petaluma. Potential for seawater intrusion in tidal reaches. Increasing MTBE contamination.(B-118 unpublished data).,,,
2-10,LIVERMORE VALLEY,,San Francisco Bay,"69,531",17.3,Medium,"196,658",3,124%,3,"4,632",3.75,32,3,"5,692",30%,70%,1,2,1.5,"6,347",2,1,Some areas have boron concentrations exceeding 2 mg/L (B-118 & Sorenson et. al. 1985).,,,
2-11,SUNOL VALLEY,,San Francisco Bay,"16,623",0.0,Very Low,808,1,141%,0,213,2.25,0,0,509,41%,59%,1,3,0,405,1,,,,,
2-19,KENWOOD VALLEY,,San Francisco Bay,"5,135",0.0,Very Low,"6,057",2,107%,1,424,3.75,12,5,136,8%,92%,1,1,0,"1,093",3,,,,,
2-2.01,NAPA-SONOMA VALLEY,NAPA VALLEY,San Francisco Bay,"45,895",20.8,Medium,"91,234",3,108%,1,"3,960",3.75,76,5,"20,000",58%,42%,3,3,3,"20,510",4,1,"Two isolated areas in the Sonoma Valley indicate substantial declines in GW elevations and RWQCB report that 43 underground fuel tank leaks have occurred in the basin (unpublished B-118 data) (Ludhorff & Scalmanini Consulting Engineers, 1999).",,,GW Use based on data from 2005 Napa Co GW Hydrology report.
2-2.02,NAPA-SONOMA VALLEY,SONOMA VALLEY,San Francisco Bay,"44,626",16.3,Medium,"31,275",2,103%,1,"2,242",3.75,31,3,"2,523",20%,80%,1,2,1.5,"15,382",4,1,"Brackish water occurs in deposits near San Pablo Bay and along the tidal portions of Sonoma creek. RWQCB reports 43 underground fuel tank leaks have occurred in the basin (unpublished B-118 data) (Ludhorff & Scalmanini, 1999).",,,
2-2.03,NAPA-SONOMA VALLEY,NAPA-SONOMA LOWLANDS,San Francisco Bay,"40,455",0.0,Very Low,"58,367",2,99%,0,"1,127",3,12,2,"1,062",16%,84%,2,1,0,"5,159",2,,,,,
2-22,HALF MOON BAY TERRACE,,San Francisco Bay,"9,189",0.0,Very Low,"19,825",3,125%,3,"1,031",3.75,17,5,603,56%,44%,1,3,0,"1,739",3,,,,,
2-24,SAN GREGORIO VALLEY,,San Francisco Bay,"1,074",0.0,Very Low,66,1,100%,0,14,2.25,0,0,0,0%,100%,0,0,0,247,3,,,,,
2-26,PESCADERO VALLEY,,San Francisco Bay,"2,904",0.0,Very Low,571,1,108%,0,76,3,3,4,0,0%,100%,0,0,0,473,3,,,,,
2-27,SAND POINT AREA,,San Francisco Bay,"1,405",0.0,Very Low,43,1,109%,0,2,0.75,3,5,2,70%,30%,1,4,0,0,0,,,,,
2-28,ROSS VALLEY,,San Francisco Bay,"1,763",0.0,Very Low,"7,194",4,109%,2,36,3,0,0,0,0%,100%,0,0,0,6,1,,,,,
2-29,SAN RAFAEL VALLEY,,San Francisco Bay,874,0.0,Very Low,"10,153",5,103%,1,155,3.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
2-3,SUISUN-FAIRFIELD VALLEY,,San Francisco Bay,"133,505",0.0,Very Low,"136,754",2,145%,5,"1,613",2.25,11,1,"6,655",28%,72%,0,0,0,"11,899",2,,,,,
2-30,NOVATO VALLEY,,San Francisco Bay,"20,519",0.0,Very Low,"42,516",3,109%,2,844,3.75,0,0,"2,700",46%,54%,0,0,0,"3,642",3,,,,,
2-31,ARROYO DEL HAMBRE VALLEY,,San Francisco Bay,786,0.0,Very Low,"3,230",4,81%,0,0,0,0,0,0,0%,100%,0,0,0,0,0,,,,,
2-32,VISITACION VALLEY,,San Francisco Bay,"5,827",0.0,Very Low,"31,853",4,138%,4,210,3.75,0,0,10,5%,95%,0,1,0,0,0,,,,,
2-33,ISLAIS VALLEY,,San Francisco Bay,"5,937",0.0,Very Low,"131,576",5,105%,1,126,3,0,0,0,0%,100%,0,0,0,0,0,,,,,
2-35,WESTSIDE,,San Francisco Bay,"25,386",0.0,Very Low,"351,235",5,111%,2,"1,761",3.75,22,4,"8,564",30%,70%,0,0,0,44,1,,,,,PubCom - GW Use and % of water supplied by GW
2-36,SAN PEDRO VALLEY,,San Francisco Bay,702,0.0,Very Low,"5,956",5,92%,0,50,3.75,0,0,0,0%,100%,0,0,0,4,1,,,,,
2-37,SOUTH SAN FRANCISCO,,San Francisco Bay,"2,175",0.0,Very Low,"38,861",5,105%,1,106,3.75,0,0,0,0%,100%,0,0,0,0,0,,,,,
2-38,LOBOS,,San Francisco Bay,"2,359",0.0,Very Low,"59,119",5,97%,0,24,2.25,0,0,0,0%,100%,0,0,0,0,0,1,"Limited water quality data but basins beneath the entire San Francisco peninsula are similar (Phillips et.al. 1993). May contain high concentrations of nitrates, chloride, boron and TDS.(B-118)",,,
2-39,MARINA,,San Francisco Bay,"2,186",0.0,Very Low,"45,294",5,96%,0,26,2.25,0,0,0,0%,100%,0,0,0,0,0,1,"Limited water quality data but basins beneath the entire San Francisco peninsula are similar (Phillips et.al. 1993). May contain high concentrations of nitrates, chloride, boron and TDS.(B-118)",,,
2-4,PITTSBURG PLAIN,,San Francisco Bay,"11,607",0.0,Very Low,"68,898",4,119%,3,"1,044",3.75,10,4,"1,845",10%,90%,2,1,0,0,0,,,,,GW Use based on GWMP. Averaged used
2-40,DOWNTOWN,,San Francisco Bay,"7,635",0.0,Very Low,"323,721",5,104%,1,336,3.75,0,0,0,0%,100%,0,0,0,0,0,1,"Groundwater is subject to high concentrations of nitrates, chloride, boron and TDS (B-118) & (Phillips et.al. 1993).",,,
2-5,CLAYTON VALLEY,,San Francisco Bay,"17,836",0.0,Very Low,"73,287",4,102%,1,828,3.75,3,2,189,15%,85%,1,1,0,29,1,,,,,
2-6,YGNACIO VALLEY,,San Francisco Bay,"15,459",0.0,Very Low,"107,878",5,107%,1,"1,607",3.75,3,2,131,8%,92%,1,1,0,6,1,1,Hydrographs created from DWR well data indicate groundwater levels have declined gradually over the period of record.(B-118),,,
2-7,SAN RAMON VALLEY,,San Francisco Bay,"7,053",0.0,Very Low,"30,112",4,112%,2,351,3.75,0,0,33,6%,94%,1,1,0,26,1,,,,,
2-8,CASTRO VALLEY,,San Francisco Bay,"1,821",0.0,Very Low,"24,486",5,99%,0,244,3.75,0,0,39,11%,89%,2,1,0,0,0,,,,,
2-9.01,SANTA CLARA VALLEY,NILES CONE,San Francisco Bay,"57,906",19.8,Medium,"321,494",4,107%,1,"6,051",3.75,25,3,"29,600",60%,40%,4,4,4,914,1,3,Saline water intrusion has increased landward and into deeper aquifers since first documented in the 1920's.(B-118),,,GW Use based on B118-03 data. GW percentage is updated based on PubCom
2-9.02,SANTA CLARA VALLEY,SANTA CLARA,San Francisco Bay,"190,235",20.3,Medium,"1,633,190",5,115%,2,"46,423",3.75,220,4,"150,000",69%,31%,5,4,4.5,3,0,1,Areas with elevated mineral levels have been observed in the northern basin (SCVWD 2001). Elevated nitrate in some wells in the southern portion of the Basin (SCVWD).,,,GW Use of 150K afy based on 2012 SCVWD GWMP.
2-9.03,SANTA CLARA VALLEY,SAN MATEO PLAIN,San Francisco Bay,"37,708",0.0,Very Low,"291,899",5,121%,3,"2,611",3.75,9,2,"1,987",14%,86%,0,0,1,97,1,1,2003 Water Board Study of South Bay GW basins,,,GW Use and reviewed WQ issues withing the basin. updated per PubCom
2-9.04,SANTA CLARA VALLEY,EAST BAY PLAIN,San Francisco Bay,"77,292",14.8,Medium,"881,718",5,102%,1,"9,892",3.75,4,1,"3,350",10%,90%,0,0,1,68,1,2,SFRWQCB (1999) identified 13 locations as areas of major groundwater pollution. Most contamination appears to be restricted to the upper 50 feet of the subsurface. (B-118) & (RWQCB 1999).,,,GW Use based on B118-03 data.
3-1,SOQUEL VALLEY,,Central Coast,"2,515",22.3,High,"18,634",5,116%,2,172,3.75,10,5,"6,890",63%,37%,5,4,4.5,26,1,1,"Water quality degradation, saline intrusion issues.",,,GW Use based on B118-03 data.
3-12,SANTA MARIA,,Central Coast,"184,248",24.0,High,"201,759",2,127%,3,"1,234",1.5,179,4,"138,510",77%,23%,5,4,4.5,"115,386",5,4,Documented overdraft of basin. Water quality degradation due to farming practices.,,,
3-13,CUYAMA VALLEY,,Central Coast,"242,114",13.8,Medium,"1,236",0,101%,0,248,0.75,12,1,"69,160",100%,0%,3,5,4,"26,023",2,3,Local salinity and TDS impairments in basin (B-118),3,"Declining Groundwater levels of 150-300' over the last 40-50 years (DWR, 1998). Conservation Assessment by TNC (2009) indicates annual GW budget deficit of ~ 28,500 af",GW Use based on B118-03 data.
3-14,SAN ANTONIO CREEK VALLEY,,Central Coast,"81,941",15.0,Medium,"2,279",1,126%,0,362,1.5,12,1,"16,000",100%,0%,2,5,3.5,"11,614",2,4,"Overdraft, water quality degradation.",2,"Santa Barbara Water Element, Table 1, p.10, indicates San Antonio basin overdraft by ~ 9,000 af/yr",GW Use based on B118-03 data and 2009 Santa Barabara Water Element
3-15,SANTA YNEZ RIVER VALLEY,,Central Coast,"204,642",17.3,Medium,"75,460",1,103%,1,"1,854",2.25,108,3,"77,114",98%,2%,3,5,4,"38,242",3,3,Overdraft has been documented by the county in the past. Also some groundwater quality impairments.,,,
3-16,GOLETA,,Central Coast,"9,229",18.8,Medium,"47,252",4,108%,1,366,3.75,31,5,"3,000",11%,89%,3,1,2,"1,083",2,,,1,"Estimated overdraft for the north-central portion of the basin ins estimated at 1,180 af/yr (Santa Barbara Water Conservation Element, 2009)","Overdraft of this basin is not projected to continue as a result of the court judgement in the Wright vs Goleta Water District lawsuit. 5/7/14 - GWD GWMP (2010) indicates ~3000AF of combined GW pumping in the basin. For GWD, it represents 14% of supply."
3-17,SANTA BARBARA,,Central Coast,"6,173",0.0,Very Low,"63,966",5,98%,0,425,3.75,7,4,"1,162",10%,90%,2,1,0,23,1,2,"Water Quality Impacts: Saline intrusion, locally high EC, hardness, hydrogen sulfides, and other constituents.(B-118)",,,"5/7/14 - The city used 662AF of GW in 2013 and private pumpers another 500AF (City of SB, WSMR - Jan 2014)"
3-18,CARPINTERIA,,Central Coast,"8,140",0.0,Very Low,"14,561",3,86%,0,98,2.25,9,4,"1,387",14%,86%,2,1,0,"4,565",5,,,,,
3-19,CARRIZO PLAIN,,Central Coast,"210,896",0.0,Very Low,440,0,116%,0,18,0.75,1,1,91,0%,100%,0,1,0,"18,500",2,,,,,
3-2,PAJARO VALLEY,,Central Coast,"88,062",24.8,High,"114,282",2,111%,2,"3,523",3.75,135,4,"67,000",98%,2%,5,5,5,"29,650",4,4,"PVWMD 2011 Annual Report indicates that Pajaro Valley GW basin remains in significant overdraft, with continuing seawater intrusion and GW storage depletion.",,,NRO: B118-03 GW use estimate = 67 TAF. Harkins Slugh managed aquifer recharge and recovery facility started operation in 2011 with 250 AF of recharge.
3-20,ANO NUEVO AREA,,Central Coast,"2,030",0.0,Very Low,46,1,93%,0,12,1.5,2,4,100,100%,0%,1,5,0,399,3,,,,,
3-21,SANTA CRUZ PURISIMA FORMATION,,Central Coast,"40,166",14.3,Medium,"17,693",2,88%,0,"1,399",3.75,20,3,"15,000",79%,21%,3,4,3.5,531,1,,,1,"Basin comprises the highland area east of Santa Cruz and serves as a forebay to Pajaro, Soquel, and Terrace Basins to the west…which are in various stages of overdraft.",
3-22,SANTA ANA VALLEY,,Central Coast,"2,724",0.0,Very Low,76,1,105%,0,25,2.25,0,0,"1,623",100%,0%,4,5,0,"1,486",4,,,,,
3-23,UPPER SANTA ANA VALLEY,,Central Coast,"1,431",0.0,Very Low,5,0,300%,0,0,0,0,0,2,100%,0%,1,5,0,0,0,,,,,
3-24,QUIEN SABE VALLEY,,Central Coast,"4,706",0.0,Very Low,5,0,300%,0,0,0,0,0,1,0%,100%,1,1,0,"1,142",3,,,,,
3-25,TRES PINOS VALLEY,,Central Coast,"3,385",0.0,Very Low,48,1,113%,0,34,2.25,5,4,"1,806",100%,0%,4,5,0,"1,519",4,,,,,
3-26,WEST SANTA CRUZ TERRACE,,Central Coast,"7,863",20.8,Medium,"70,336",5,104%,1,419,3.75,4,3,"4,036",64%,36%,4,4,4,221,1,2,Water quality degradation,1,"Low GW use, but basin at high risk of seawater intrusion due to thin alluvial aquifer and dependency on up-gradient users to maintain positive westward flow conditions (2005, Santa Cruz UWMP).",Potential for seawater intrusion due to reversal of GW gradients to the east. Future use of Live Oak wells (2 mgd) is in jeopardy if drought conditions change gradient and induce seawater intrusion…current conditions are in balance but close.
3-27,SCOTTS VALLEY,,Central Coast,773,0.0,Very Low,"3,875",4,101%,1,337,3.75,3,5,285,0%,100%,3,0,0,0,0,4,Overdraft and water quality issues associated with contaminated sites within the basin.,,,
