"","OBJECTID","PWSID","POPSV_R","PWSName","BoundarySo","WaterUsed","coords.x1","coords.x2","optional"
"17",17,"1500584",80,"GOOSELAKE WATER COMPANY","Approx","Ground",75306.2335000001,-288412.8777,TRUE
"18",18,"1500585",100,"OASIS PROPERTY OWNERS ASSOCIATION","Approx","Ground",96641.9884000011,-297947.6185,TRUE
"19",19,"1500588",438,"SON SHINE PROPERTIES","Approx","Ground",104240.025600001,-302843.1187,TRUE
"20",20,"1502163",6,"LINNS VALLEY SCHOOL","Approx","Ground",115852.285599999,-252007.5269,TRUE
"21",21,"1502620",48,"POND MUTUAL WATER COMPANY","Approx","Ground",61877.303199999,-254510.0346,TRUE
"22",22,"1502699",35,"EAST WILSON ROAD WATER COMPANY","Approx","Ground",98710.4992999993,-297979.474,TRUE
"23",23,"1510054",725,"PINON PINES MWC","Approx","Ground",86959.4572999999,-356452.118,TRUE
"24",24,"1600007",38,"COUTURE FARMS","Approx","Ground",-850.95870000124,-218353.3868,TRUE
"25",25,"1700552",225,"HILL NINE AND TEN","Approx","Ground",-238096.352,100770.731699999,TRUE
"26",26,"1900041",96,"PROPERTY OWNERS WATER SYSTEM","Approx","Ground",143323.673500001,-396217.3526,TRUE
"27",27,"1900100",135,"METTLER VALLEY MUTUAL","Approx","Ground",125218.3913,-357596.6973,TRUE
"28",28,"1900907",250,"SHERWOOD MOBILE HOME PARK","Approx","Ground",177852.829999998,-366198.1421,TRUE
"29",29,"1900942",133,"ALPINE SPRINGS MOBILE HOME PARK","Approx","Ground",171258.515299998,-385415.6932,TRUE
"30",30,"2000526",75,"PIKE RANCH MUTUAL WATER CO","Approx","Ground",30130.6660000011,-72629.5412000008,TRUE
"31",31,"2000527",110,"YOSEMITE FORKS EST MUTUAL","Approx","Ground",32010.0131999999,-70431.9488999993,TRUE
"32",32,"2000534",45,"LEISURE ACRES MUTUAL WATER COMPANY","Approx","Ground",38013.5251999982,-89686.6304000001,TRUE
"33",33,"2000544",150,"MD#01 HIDDEN LAKE ESTATES","Approx","Surface",29993.1451999992,-106571.305400001,TRUE
"34",34,"2000551",200,"MD#07 MARINA VIEW HEIGHTS","Approx","Ground",43480.3623999991,-83053.0427000001,TRUE
"35",35,"2000729",100,"SA#16 SUMNER HILL-WATER SYSTEM","Approx","Both",21558.2463000007,-118129.6009,TRUE
"36",36,"2010007",3078,"HILLVIEW WC-OAKHURST/SIERRA LAKES","Approx","Ground",31264.5355999991,-75279.6074999999,TRUE
"37",37,"2010012",261,"HILLVIEW WATER CO-RAYMOND","Approx","Ground",7623.10759999976,-86930.9976000004,TRUE
"38",38,"2110001",1304,"INVERNESS PUBLIC UTILITY DIST","Approx","Both",-252236.3605,13403.7172999997,TRUE
"39",39,"2400201",150,"VOLTA COMMUNITY SD","Approx","Ground",-69948.4827999994,-66649.2348999996,TRUE
"40",40,"2700523",39,"CALERA CANYON HEIGHTS HOA","Approx","Ground",-143467.3543,-179111.884299999,TRUE
"41",41,"2701503",90,"MESA DEL TORO MWC","Approx","Ground",-152705.107999999,-162663.783199999,TRUE
"42",42,"2702405",56,"JENSEN MHP WS","Approx","Ground",-146680.724400001,-176599.837300001,TRUE
"43",43,"2710003",1200,"MONTE DEL LAGO MHC","Approx","Ground",-156276.057499999,-141242.622500001,TRUE
"44",44,"2900562",600,"ANANDA WATER DEPARTMENT","Approx","Ground",-92568.6854999997,150369.8835,TRUE
"45",45,"3100014",150,"BAKER RANCH WATER COMPANY","Approx","Ground",-65046.7329000011,116057.238299999,TRUE
"46",46,"3100023",59,"ROCKANNA ROYALE MOBILE HOME PARK","Approx","Ground",-109235.162700001,15738.3827999998,TRUE
"47",47,"3200127",33,"ARLINGTON HEIGHTS MHP","Approx","Ground",-45008.2335000001,197569.934800001,TRUE
"48",48,"3301381",350,"CSA 51","Approx","Ground",427543.3506,-466986.2531,TRUE
"49",49,"3301511",200,"Pinyon Crest HOA","Approx","Ground",332437.651299998,-474494.306,TRUE
"50",50,"3301937",25,"Mesquite Mutual Water Co.","Approx","Ground",351083.372299999,-475651.9098,TRUE
"51",51,"3303100",314,"Oasis Gardens Water Co.","Approx","Ground",350087.447900001,-508013.009,TRUE
"52",52,"3310048",5059,"COACHELLA VWD: I.D. NO. 8","Approx","Ground",328523.662900001,-458497.0835,TRUE
"53",53,"3400130",40,"GREGG WATER CO","Approx","Ground",-136517.8638,36930.2370999996,TRUE
"54",54,"3400138",80,"LOCKE WATER WORKS CO [SWS]","Approx","Ground",-134094.497099999,6329.04209999926,TRUE
"55",55,"3500527",55,"VALENZUELA WATER SYSTEM","Approx","Ground",-126038.5913,-130398.812200001,TRUE
"56",56,"3500823",133,"BEST ROAD MWC","Approx","Ground",-122635.999200001,-130962.5877,TRUE
"57",57,"3600025",124,"BAR-LEN MWC","Approx","Ground",263980.0255,-350113.2528,TRUE
"58",58,"3600196",625,"CSA 70 W-4 PIONEERTOWN","Approx","Ground",317321.3609,-420096.9832,TRUE
"59",59,"3600260",530,"SMILEY PARK COUNTRY CLUB","Approx","Ground",266178.362100001,-420594.1696,TRUE
"60",60,"3600345",63,"WEST END MWC","Approx","Ground",273114.824999999,-393814.8645,TRUE
"61",61,"3700291",100,"OCOTILLO OASIS MOBILE HOME PARK","Approx","Ground",357795.984700002,-533923.1258,TRUE
"62",62,"3701341",120,"QUIET OAKS MOBILE HOME PARK","Approx","Ground",301457.420600001,-512553.9358,TRUE
"63",63,"3701995",100,"WILLOWSIDE TERRACE WATER ASSOCIATION","Approx","Ground",306143.536600001,-568789.0188,TRUE
"64",64,"3702754",350,"RANCHO CORRIDO RV RESORT","Approx","Ground",278729.037700001,-514234.5218,TRUE
"65",65,"3900505",270,"FARMINGTON WATER COMPANY","Approx","Ground",-90285.7179999985,-10033.6196999997,TRUE
"66",66,"3900579",50,"CENTURY MOBILE HOME PARK","Approx","Ground",-106771.968699999,-10941.1718000006,TRUE
"67",67,"3900664",125,"NEW HOPE LANDING GENERAL STORE","Approx","Ground",-112525.633099999,-26497.8935000002,TRUE
"68",68,"3900732",35,"V & P TRAILER COURT WATER SYSTEM","Approx","Ground",263892.623399999,-378526.2769,TRUE
"69",69,"3900755",120,"SHADY REST TRAILER COURT","Approx","Ground",-101518.780299999,-1860.07359999977,TRUE
"70",70,"3900813",100,"HAVEN ACRES RIVER CLUB INC","Approx","Ground",-116984.051899999,-15284.2222000007,TRUE
"71",71,"3901074",255,"TWIN OAKS MOBILE PARK","Approx","Ground",-109829.181899998,5582.7946000006,TRUE
"72",72,"3901304",53,"BROOKSIDE MEADOWS ESTATE","Approx","Ground",-109595.367199998,4483.83090000041,TRUE
"73",73,"3910018",600,"SAN JOAQUIN RIVER CLUB INC","Approx","Ground",-112785.9586,-35271.6699000001,TRUE
"74",74,"4000632",55,"HIDDEN HILLS MOBILODGE","Approx","Ground",-58343.2661999986,-309141.4599,TRUE
"75",75,"4100533",350,"SKYLONDA MUTUAL","Approx","Both",-198898.7939,-66962.1773000006,TRUE
"76",76,"4200616",300,"SKYLINE PARK & SERVICE CO.","Approx","Ground",-7703.78990000114,-377136.0068,TRUE
"77",77,"4200618",150,"MIDLAND SCHOOL CORPORATION","Approx","Ground",-8412.36259999871,-361542.7765,TRUE
"78",78,"4200802",105,"OAK TRAIL RANCH MUTUAL WATER","Approx","Ground",-8113.48539999872,-369376.3803,TRUE
"79",79,"4200807",350,"WOODSTOCK PROPERTY OWNERS ASSN","Approx","Ground",-5457.47089999914,-366505.6864,TRUE
"80",80,"4200837",126,"RANCHO YNECITA MWC","Approx","Ground",-9080.92130000144,-371057.9908,TRUE
"81",81,"4400684",50,"APTOS RIDGE MUTUAL WATER CO","Approx","Ground",-185783.5504,-96832.1417999994,TRUE
"82",82,"4400755",400,"MONTEREY BAY ACADEMY","Approx","Ground",-164765.361300001,-120536.8007,TRUE
"83",83,"4500012",100,"CASCADE RACQUET CLUB MUTUAL WATER","Approx","Ground",-197538.840399999,285684.926899999,TRUE
"84",84,"4500018",136,"SALT CREEK SUMMER HOMES","Approx","Ground",-198777.435900001,315800.2289,TRUE
"85",85,"4500084",99,"MCARTHUR MOBILEHOME PARK","Approx","Ground",-116145.446699999,337213.4067,TRUE
"86",86,"4510008",1600,"FALL RIVER VALLEY CSD","Approx","Both",-122024.2051,332949.7424,TRUE
"87",87,"4600019",225,"SIERRA CO. W.W.D #1 CALPINE","Approx","Ground",-37759.502700001,182964.721100001,TRUE
"88",88,"4700521",142,"SISKIYOU CO.SERVICE AREA #5/CARRICK","Approx","Ground",-199019.304099999,384432.561100001,TRUE
"89",89,"4700528",300,"SISKIYOU CO. ROLLING HILLS MWC","Approx","Ground",-217771.124500001,410438.0691,TRUE
"90",90,"4700541",55,"CHATEAU SHASTA MOBILE HOME & RV PARK","Approx","Ground",-194691.090500001,368533.0469,TRUE
"91",91,"4700542",135,"ABRAMS LAKE MOBILE ESTATES","Approx","Ground",-196596.385399999,370289.794199999,TRUE
"92",92,"4700546",102,"CAL ORE TRAIL MOBILE ESTATES","Approx","Ground",-197941.602499999,379876.0748,TRUE
"93",93,"4700549",240,"LAKE SISKIYOU M.W.C.","Approx","Ground",-193790.9551,367653.426999999,TRUE
"94",94,"4700686",55,"SUN MOUNTAIN M.W.C.","Approx","Ground",-192349.5988,364731.6501,TRUE
"95",95,"4810009",7022,"DIXON - SOLANO MWS","Approx","Ground",-159173.773399999,51851.1809,TRUE
"96",96,"4900513",95,"MADRONE MUTUAL WATER COMPANY","Approx","Ground",-237727.939300001,39957.6029000003,TRUE
"97",97,"4900559",90,"FIRCREST MUTUAL WATER COMPANY","Approx","Ground",-245779.0044,44428.9472000003,TRUE
"98",98,"4900562",250,"DIAMOND A MUTUAL WATER COMPANY","Approx","Ground",-223432.8783,35373.8005999997,TRUE
"99",99,"4900568",40,"VALLEY FORD WATER ASSOCIATION","Approx","Ground",-254594.676000001,38528.0771999992,TRUE
"100",100,"4900637",100,"MAGIC MOUNTAIN MUTUAL WATER COMPANY","Approx","Ground",-266992.563999999,55082.8925999999,TRUE
"101",101,"4900676",300,"SEQUOIA GARDENS MOBILE HOME PARK","Approx","Ground",-242701.913699999,51674.5484999996,TRUE
"102",102,"4900973",75,"GEORGE RANCH MUTUAL WATER COMPANY","Approx","Ground",-221685.3663,32419.2829,TRUE
"103",103,"5000033",50,"COBLES CORNER","Approx","Ground",-73475.5516000018,-45364.7391999997,TRUE
"104",104,"5000049",64,"LONE PINE MOBILEHOME PARK","Approx","Ground",-74280.0573000014,-26783.1742000002,TRUE
"105",105,"5000058",80,"FISHERMAN S BEND MHP (water system)","Approx","Ground",-84915.9783000015,-71719.0291000009,TRUE
"106",106,"5000061",60,"MARTIN S MOBILE HOME COURT","Approx","Ground",-34192.9637000002,-300304.4666,TRUE
"107",107,"5000271",100,"BUEHNER WATER SYSTEM - WEBER COMPLEX","Approx","Ground",-98561.5111000016,-58959.0461999997,TRUE
"108",108,"5000389",186,"MONTEREY PARK TRACT COMMUNITY SERVICE DI","Approx","Ground",-184781.3421,225871.076099999,TRUE
"109",109,"5010006",7897,"CITY OF MODESTO, DE WATERFORD","Approx","Ground",-64464.6006999984,-32272.4721000008,TRUE
"110",110,"5100107",350,"SUTTER CO. WWD#1 (ROBBINS)","Approx","Ground",-146383.7914,94606.4890000001,TRUE
"111",111,"5100109",255,"WILDEWOOD MUTUAL WATER CO., INC.","Approx","Ground",-144726.1535,122524.421499999,TRUE
"112",112,"5100112",50,"TIERRA BUENA MHP #1","Approx","Ground",-143046.393999999,128058.641100001,TRUE
"113",113,"5101007",26,"COUNTRY VILLAGE NORTH MHP","Approx","Ground",-145135.865800001,124240.450200001,TRUE
"114",114,"5101009",350,"WILDEWOOD EAST MUTUAL","Approx","Ground",-143720.0056,124828.290200001,TRUE
"115",115,"5200534",120,"PASKENTA COMM. SERVICES DIST.","Approx","Surface",-217547.4604,211452.737,TRUE
"116",116,"5200584",27,"LITTLE AVENUE WATER SYSTEM","Approx","Ground",-187759.7084,237662.661599999,TRUE
"117",117,"5200645",40,"SADDLEBACK MUTUAL WATER CO.","Approx","Ground",-200552.0584,256954.635500001,TRUE
"118",118,"5201147",25,"GOLDEN MEADOWS CSD","Approx","Ground",-185146.599400001,245960.4663,TRUE
"119",119,"5210003",1500,"LOS MOLINOS COMM. SERVICES DIST.","Approx","Ground",-181131.9639,224855.965600001,TRUE
"120",120,"5301002",150,"LEWISTON COMMUNITY SERVICES DISTRICT","Approx","Surface",-235695.513900001,303147.214600001,TRUE
"121",121,"5304109",53,"BURNT RANCH ESTATES","Approx","Surface",-297180.4417,316920.050899999,TRUE
"122",122,"5700615",200,"YOLO CO HOUSING AUTHORITY","Approx","Ground",-151456.996300001,79317.8345999997,TRUE
"123",123,"5700649",33,"WESTUCKY WATER ASSOC","Approx","Ground",-157091.999,72579.284,TRUE
"124",124,"5700707",33,"ROLLING ACRES WAT MUTUAL","Approx","Ground",-133696.7448,46629.5424000006,TRUE
"125",125,"0103039",116,"MOHRLAND MUTUAL WATER SYSTEM","Approx","Ground",-189042.3573,-37635.4460000005,TRUE
"126",126,"0110018",1,"SFPUC-PLEASANTON WELLS","Approx","Ground",-168951.232899999,-35741.2875999995,TRUE
"127",127,"0202504",25,"MARKLEEVILLE WATER CO.","Approx","Both",16679.7204999998,73802.0440999996,TRUE
"128",128,"0210002",101,"KIRKWOOD MEADOWS PUBILC UTILIT","Approx","Ground",-6253.95230000094,75584.8847000003,TRUE
"129",129,"0300019",100,"Fiddletown Community Service","Approx","Ground",-67979.0581,54967.1414000001,TRUE
"130",130,"0300062",30,"Hope Foundation/Moriah Heights","Approx","Ground",-88451.3735000007,52285.5842000004,TRUE
"131",131,"0310002",5339,"AWA, IONE","Approx","Surface",-82834.7008000016,34465.7116999999,TRUE
"132",132,"0310003",5700,"AWA, SUTTER CREEK","Approx","Surface",-68940.574000001,42992.5317000002,TRUE
"133",133,"0310004",1060,"PLYMOUTH, CITY OF","Approx","Both",-74799.6590999998,49955.5850000009,TRUE
"134",134,"0310006",510,"RIVER PINES PUD","Approx","Both",-65085.8081,57097.0868999995,TRUE
"135",135,"0310011",838,"FIRST MACE MEADOW # 1","Approx","Both",-45260.6217,50158.0973000005,TRUE
"136",136,"0310012",8800,"AWA BUCKHORN PLANT","Approx","Surface",-46822.0370999984,47808.4452,TRUE
"137",137,"0310015",268,"RABB PARK COMMUNITY SER. DIST.","Approx","Both",-46587.1367999986,49095.1102000009,TRUE
"138",138,"0310018",200,"FIRST MACE MEADOWS UNIT NO. 2","Approx","Both",-47070.0667000003,45537.2748000007,TRUE
"139",139,"0310019",195,"AWA LA MEL HEIGHTS #3","Approx","Ground",-57968.5190000013,52567.4204999991,TRUE
"140",140,"0400003",31,"HARTLEY MUTUAL WATER SYSTEM","Approx","Ground",-98976.2415000014,169046.682800001,TRUE
"141",141,"0400005",161,"GREEN ACRES MUTUAL WATER CO","Approx","Ground",-160927.173900001,194055.2007,TRUE
"142",142,"0400007",399,"BUTTE CREEK ESTATES MUTUAL WATER CO","Approx","Ground",-154629.717399999,186815.3233,TRUE
"143",143,"0400008",200,"GRAN MUTUAL WATER CO","Approx","Ground",-148806.186000001,189188.934,TRUE
"144",144,"0400012",500,"FARM LABOR HOUSING","Approx","Ground",-142439.9223,149404.9804,TRUE
"145",145,"0400014",297,"LAKE MADRONE WATER DISTRICT","Approx","Ground",-120689.434500001,183279.9539,TRUE
"146",146,"0400016",99,"BERRY CREEK COMMUNITY SERVICE DIST","Approx","Ground",-119947.177700002,181749.8552,TRUE
"147",147,"0400033",25,"PALERMO MOBILE HOME PARK","Approx","Ground",-120531.605300002,169468.113399999,TRUE
"148",148,"0400041",25,"FOREST RANCH MOBILE PARK","Approx","Ground",-136275.5677,165465.774900001,TRUE
"149",149,"0400078",41,"FOREST KNOLLS MUTUAL WATER CO","Approx","Ground",-143308.0765,208969.375299999,TRUE
"150",150,"0400090",40,"MOUNTAIN VILLAGE HOMEOWNER S ASSOC","Approx","Ground",-142798.4866,209117.186100001,TRUE
"151",151,"0400123",50,"HUMBOLDT HIGHLANDS MUTUAL","Approx","Ground",-139209.218,158974.782299999,TRUE
"152",152,"0400149",50,"HUMBOLDT WOODLANDS MUTUAL","Approx","Ground",-131399.475499999,231575.0033,TRUE
"153",153,"0400151",95,"KEEFER CREEK ESTATES MUTUAL","Approx","Ground",-163624.385600001,199822.967599999,TRUE
"154",154,"0400155",10,"BIGGERS GLEN MUTUAL WATER CO","Approx","Ground",-132373.520500001,230239.827099999,TRUE
"155",155,"0405001",128,"DEL ORO WATER CO.-LIME SADDLE MARINA","Approx","Both",-134874.056,185215.817600001,TRUE
"156",156,"0410011",11405,"DEL ORO WATER CO.-PARADISE PINES","Approx","Ground",-128417.528700002,203297.845899999,TRUE
"157",157,"0410012",63,"SFWP-BANGOR","Approx","Surface",-121192.619399998,151374.9969,TRUE
"158",158,"0410018",313,"DEL ORO WATER CO.-STIRLING BLUFFS","Approx","Surface",-132520.316,214698.194499999,TRUE
"159",159,"0500004",78,"CALAVERAS VALLEY VILLAGE","Approx","Ground",-44218.7003999986,34305.4462000001,TRUE
"160",160,"0500019",125,"MINERAL MOUNTAIN MUTUAL WATER","Approx","Ground",-38676.9888000004,19086.3202,TRUE
"161",161,"0500027",99,"LILI VALLEY WATER CO.","Approx","Ground",-36955.7402000017,46465.7811999992,TRUE
"162",162,"0510001",4300,"UNION PUBLIC UTILITY DISTRICT","Approx","Surface",-35526.2831000015,14939.6366000008,TRUE
"163",163,"0510004",100,"C.C.W.D. SHEEP RANCH","Approx","Surface",-41349.5923999995,18709.0085000005,TRUE
"164",164,"0510005",1400,"C.C.W.D., WEST POINT","Approx","Surface",-43913.0055,43129.5908000004,TRUE
"165",165,"0510006",10170,"C.C.W.D., JENNY LIND","Approx","Surface",-65198.4681000002,11892.3392999992,TRUE
"166",166,"0510009",5100,"BLUE LAKE SPRINGS MUT WTR","Approx","Both",-32523.9844000004,27624.7745999992,TRUE
"167",167,"0510012",180,"CAMANCHE SOUTH SHORE-EBMUD","Approx","Surface",-82317.5507000014,22563.9408,TRUE
"168",168,"0510016",14340,"CCWD EBBETTS PASS IMPROVEMENT DISTRICT","Approx","Surface",-29908.4712999985,18843.4766000006,TRUE
"169",169,"0510017",6735,"CCWD COPPER COVE","Approx","Surface",-51881.1532000005,-10824.5330999997,TRUE
"170",170,"0510019",220,"WALLACE COMMUNITY SERVICES DISTRICT","Approx","Ground",-84993.425999999,19829.8742999993,TRUE
"171",171,"0706004",170,"OAKLEY MUTUAL WATER COMPANY","Approx","Ground",-143872.4177,-1447.21890000068,TRUE
"172",172,"0706005",140,"FARRAR PARK PROPERTY OWNERS","Approx","Ground",-145605.579299999,1065.35749999993,TRUE
"173",173,"0706007",26,"VILLA DE GUADALUPE","Approx","Ground",-154104.474300001,2309.46440000087,TRUE
"174",174,"0706047",420,"LUNDBORG LANDING  *CL 2/09","Approx","Ground",-141746.435799999,269.506200000644,TRUE
"175",175,"0707501",60,"ANGLER S RANCH #3","Approx","Ground",38400.0364999995,-88621.1722999997,TRUE
"176",176,"0707511",28,"CASTLEROCK WATER SYS","Approx","Ground",-145126.7546,1865.26979999989,TRUE
"177",177,"0707517",50,"COLONIA SANTA MARIA","Approx","Ground",-149087.2114,-12660.6633000001,TRUE
"178",178,"0707519",49,"DUTCH SLOUGH WATER WORKS","Approx","Ground",143099.0178,-82346.1289000008,TRUE
"179",179,"0707547",250,"KNIGHTSEN COMMUNITY WATER SYSTEM","Approx","Ground",-146830.7227,-3619.6417999994,TRUE
"180",180,"0707558",35,"HERTZ WATER SYSTEM","Approx","Ground",-142171.1623,-518.701700000092,TRUE
"181",181,"0707562",26,"VALLEY ORCHARD  MUTUAL WATER SYSTEM","Approx","Ground",-176177.6094,-9690.59779999964,TRUE
"182",182,"0707572",56,"BETHEL ISLAND MUTUAL WATER CO","Approx","Ground",-145371.155400001,1053.08640000038,TRUE
"183",183,"0707573",180,"DELTA MUTUAL WATER COMPANY","Approx","Ground",-142482.1907,1115.43249999918,TRUE
"184",184,"0707576",380,"PLEASANTIMES MUTUAL WATER CO","Approx","Ground",-137761.463,-1673.93590000086,TRUE
"185",185,"0707577",230,"RIVERVIEW WATER ASSOCIATION","Approx","Ground",-140621.9882,1707.19280000031,TRUE
"186",186,"0707578",65,"DAVIS CAMP  *CL 10/08","Approx","Ground",-147779.601399999,-6626.27419999987,TRUE
"187",187,"0707585",60,"MORAGA HEIGHTS MUTUAL WATER","Approx","Ground",-188251.842900001,-17884.9372000005,TRUE
"188",188,"0707589",93,"BELLA VISTA WATER SYS","Approx","Ground",-190233.8937,-17301.4286000002,TRUE
"189",189,"0707591",35,"BLUE TIP TRAILER PARK WATER","Approx","Ground",-147658.3401,-2948.55590000004,TRUE
"190",190,"0707594",55,"CASA MEDANOS WATER SYSTEM","Approx","Ground",-161938.0023,422.700500000268,TRUE
"191",191,"0707623",90,"MCCOSKER RANCH","Approx","Ground",-189522.0221,-16444.7497000005,TRUE
"192",192,"0707624",140,"WILLOW PASS MOBILE HOME *CL 1/07-INACTIV","Approx","Ground",-172583.560900001,718.295199999586,TRUE
"193",193,"0800532",400,"BIG ROCK C.S.D.","Approx","Ground",-337277.345799999,427226.417099999,TRUE
"194",194,"0800556",150,"HRC C.S.D.","Approx","Both",-342589.8068,431579.1427,TRUE
"195",195,"0800825",58,"JED SMITH HOMEOWNERS ASSN.","Approx","Ground",-341556.128599999,433468.984999999,TRUE
"196",196,"0900112",35,"CANDLELIGHT VILLAGE WATER SYST","Approx","Ground",-61719.249499999,64160.8999000005,TRUE
"197",197,"0900217",100,"BEAR STATE WATER WORKS","Approx","Ground",-62596.9846000001,105642.480799999,TRUE
"198",198,"0900300",250,"KYBURZ MUTUAL WATER SYSTEM","Approx","Both",-25751.2956000008,86539.2236000001,TRUE
"199",199,"0900308",100,"QUINTETTE SERVICE CORP WATER","Approx","Ground",-58851.5071999989,100412.9231,TRUE
"200",200,"0901217",100,"BEAR STATE WATER WORKS","Approx","Ground",-63367.9239000008,105754.4505,TRUE
"201",201,"0910012",250,"TAHOE CITY PUD - RUBICON","Approx","Both",-10504.1587999985,111714.4111,TRUE
"202",202,"0910017",358,"EL DORADO ID - STRAWBERRY","Approx","Surface",-12891.5069999993,86409.8895999994,TRUE
"203",203,"0910300",1,"FOLSOM LAKE SRA - PENINSULA CAMPGROUND","Approx","Both",-98547.1862999983,44476.5527999997,TRUE
"204",204,"1000016",70,"DORABELLE MUTUAL WATER COMPANY","Approx","Ground",61461.5544000007,-101709.683900001,TRUE
"205",205,"1000049",18,"HOME CREEK TRACT","Approx","Ground",69367.2978000008,-83762.7225000001,TRUE
"206",206,"1000059",25,"MUSICK HEIGHTS MUTUAL","Approx","Ground",60607.4389000013,-103076.531400001,TRUE
"207",207,"1000071",160,"SHAVER LAKE POINT #1","Approx","Ground",62185.8372000009,-98845.0275999997,TRUE
"208",208,"1000290",398,"WESTSIDE SCHOOL","Approx","Surface",-13351.2421000004,-179540.061899999,TRUE
"209",209,"1000410",40,"SHORTYS PLACE","Approx","Ground",31043.0340999998,-157373.496200001,TRUE
"210",210,"1000413",35,"GARDEN APARTMENTS","Approx","Ground",37637.9915000014,-162295.8138,TRUE
"211",211,"1000424",24,"CANYON FORK PROPERTIES","Approx","Ground",44334.0192999989,-108737.856899999,TRUE
"212",212,"1009034",54,"WESTRIDGE","Approx","Surface",-35518.8924999982,-159862.112,TRUE
"213",213,"1100404",249,"BLACK BUTTE WATER CO.","Approx","Ground",-190338.220100001,198368.3465,TRUE
"214",214,"1200501",219,"ALDERPOINT COUNTY WATER","Approx","Surface",-301284.442399999,244652.623199999,TRUE
"215",215,"1200538",400,"MYERS FLAT M.W.S. INC.","Approx","Ground",-344580.8862,265810.698799999,TRUE
"216",216,"1200547",65,"MILL CREEK M.W.C.","Approx","Ground",-348822.4077,290198.51,TRUE
"217",217,"1200566",85,"ORLEANS MUTUAL WATER CO.","Approx","Surface",-298340.402799999,369703.0744,TRUE
"218",218,"1200583",100,"FORSON WATER COMPANY","Approx","Ground",-349282.7402,331937.056,TRUE
"219",219,"1200588",60,"SEAWOOD ESTATES MUTUAL WATER","Approx","Both",-347811.3774,349200.1304,TRUE
"220",220,"1200590",31,"MOONSTONE HEIGHTS MWA","Approx","Ground",-346298.623600001,341296.9329,TRUE
"221",221,"1200591",35,"BIG LAGOON PARK WATER CO.","Approx","Ground",-348438.01,357589.248299999,TRUE
"222",222,"1200687",60,"RIVERBEND MOBILE HOME PARK","Approx","Ground",-303258.854499999,281660.0766,TRUE
"223",223,"1200706",130,"MIDWAY RV PARK","Approx","Surface",-348284.2655,344693.333900001,TRUE
"224",224,"1200718",75,"WADDINGTON W.W.","Approx","Ground",-357756.062899999,288770.2578,TRUE
"225",225,"1200729",430,"ORLEANS C.S.D.","Approx","Surface",-295282.272,370160.0241,TRUE
"226",226,"1206002",64,"PALOMINO ESTATES M.W.C.","Approx","Surface",-320256.9714,229816.8188,TRUE
"227",227,"1210001",16651,"ARCATA, CITY OF","Approx","Ground",-352089.6165,320188.988299999,TRUE
"228",228,"1210018",1000,"TRINIDAD, CITY OF","Approx","Surface",-344453.3255,347068.906500001,TRUE
"229",229,"1300571",16,"UC DESERT RESEARCH AND EXTENSION CENTER","Approx","Surface",442040.168499999,-564598.6338,TRUE
"230",230,"1300588",30,"IID VILLAGE","Approx","Ground",-31884.8808000013,93027.4713000003,TRUE
"231",231,"1310007",6180,"HEBER PUBLIC UTILITY DISTRICT","Approx","Surface",422714.434700001,-583788.6502,TRUE
"232",232,"1310009",892,"WINTERHAVEN WD","Approx","Ground",504732.536499999,-571790.6411,TRUE
